day,cat,dem,rep,npa,oth
2024-09-12,provided,1524,2140,1073,121
2024-09-16,provided,3140,3186,1660,210
2024-09-17,provided,3584,3700,1980,245
2024-09-18,provided,4335,4886,2572,287
2024-09-19,provided,10545,13046,5309,655
2024-09-20,provided,21178,22610,12510,1445
2024-09-22,provided,37282,32376,21914,2428
2024-09-24,provided,41183,35323,22896,2566
2024-09-25,provided,43031,37473,23748,2660
2024-09-26,provided,211856,233465,107378,12525
2024-09-27,provided,337872,367951,162886,18847
2024-09-29,provided,459631,435591,211335,24104
2024-09-30,provided,667308,590415,316380,32659
2024-10-01,provided,986983,833791,469810,46286
2024-10-02,provided,1014255,853671,486554,48073
2024-10-03,provided,1171038,967207,562256,55528
2024-10-04,provided,1272534,1039905,614147,60740
2024-10-06,provided,1273992,1040506,615290,60955
2024-10-07,provided,1273992,1040506,615290,60955
2024-10-08,provided,1296864,1057340,631591,62878
2024-10-09,provided,1303538,1063361,637443,63527
2024-10-10,provided,1307163,1067116,640886,63885
2024-10-11,provided,1309865,1069635,643025,64114
2024-10-13,provided,1312888,1073211,646008,64591
2024-10-14,provided,1327396,1084858,652074,65215
2024-10-15,provided,1333730,1090918,664045,66873
2024-10-16,provided,1346287,1101989,674536,68146
2024-10-17,provided,1357956,1112771,684343,69302
2024-10-18,provided,1365482,1121054,692367,70237
2024-10-19,provided,1371028,1126159,697310,70925
2024-10-20,provided,1375799,1131049,702504,71553
2024-10-21,provided,1377951,1131837,703170,71621
2024-10-22,provided,1396110,1147870,719242,73509
2024-10-23,provided,1409952,1162949,732272,74993
2024-10-24,provided,1424407,1177385,745764,76542
2024-10-25,provided,1446660,1197493,766815,78787
2024-10-26,provided,1452543,1203835,772160,79458
2024-10-27,provided,1455324,1206067,774134,79697
