"date","total"
2024-07-26,4564
2024-08-02,-1393
2024-08-09,26119
2024-08-16,5814
2024-08-23,3227
2024-08-30,4756
2024-09-06,4620
2024-09-13,6962
2024-09-20,6945
2024-09-27,6428
2024-10-04,7713
2024-10-11,5126
2024-10-18,7302
2024-10-25,8727
