County,Registered Voters
County,
Aitkin,"11,474"
Anoka,"230,610"
Becker,"21,618"
Beltrami,"28,168"
Benton,"24,675"
Big Stone,"3,072"
Blue Earth,"38,043"
Brown,"16,183"
Carlton,"22,377"
Carver,"73,965"
Cass,"21,532"
Chippewa,"7,029"
Chisago,"38,016"
Clay,"35,650"
Clearwater,"5,170"
Cook,"3,920"
Cottonwood,"6,467"
Crow Wing,"45,864"
Dakota,"280,218"
Dodge,"13,318"
Douglas,"27,211"
Faribault,"8,402"
Fillmore,"13,394"
Freeborn,"18,373"
Goodhue,"31,077"
Grant,"3,829"
Hennepin,"788,296"
Houston,"12,459"
Hubbard,"14,819"
Isanti,"27,189"
Itasca,"29,672"
Jackson,"6,112"
Kanabec,"10,419"
Kandiyohi,"25,703"
Kittson,"2,670"
Koochiching,"7,298"
Lac Qui Parle,"4,326"
Lake,"7,394"
Lake Of The Woods,"2,727"
Le Sueur,"18,670"
Lincoln,"3,379"
Lyon,"14,535"
McLeod,"23,278"
Mahnomen,"2,668"
Marshall,"5,430"
Martin,"11,800"
Meeker,"14,809"
Mille Lacs,"16,457"
Morrison,"21,797"
Mower,"21,776"
Murray,"5,162"
Nicollet,"20,754"
Nobles,"9,412"
Norman,"3,688"
Olmsted,"100,828"
Otter Tail,"39,265"
Pennington,"7,890"
Pine,"17,845"
Pipestone,"5,092"
Polk,"16,713"
Pope,"7,544"
Ramsey,"311,009"
Red Lake,"2,352"
Redwood,"8,977"
Renville,"8,805"
Rice,"38,665"
Rock,"5,609"
Roseau,"8,960"
St. Louis,"129,645"
Scott,"97,304"
Sherburne,"63,001"
Sibley,"9,473"
Stearns,"94,525"
Steele,"22,267"
Stevens,"5,201"
Swift,"5,382"
Todd,"14,488"
Traverse,"2,005"
Wabasha,"14,391"
Wadena,"8,450"
Waseca,"11,075"
Washington,"183,275"
Watonwan,"5,459"
Wilkin,"3,620"
Winona,"28,871"
Wright,"96,446"
Yellow Medicine,"5,772"
TOTAL,"3,542,558"
