County,Registered Voters
County
Aitkin,"11,638"
Anoka,"234,045"
Becker,"21,998"
Beltrami,"28,520"
Benton,"25,231"
Big Stone,"3,102"
Blue Earth,"38,497"
Brown,"16,313"
Carlton,"22,759"
Carver,"75,172"
Cass,"21,766"
Chippewa,"7,079"
Chisago,"38,624"
Clay,"36,445"
Clearwater,"5,268"
Cook,"3,976"
Cottonwood,"6,542"
Crow Wing,"46,346"
Dakota,"285,818"
Dodge,"13,510"
Douglas,"27,438"
Faribault,"8,529"
Fillmore,"13,580"
Freeborn,"18,586"
Goodhue,"31,504"
Grant,"3,870"
Hennepin,"797,743"
Houston,"12,588"
Hubbard,"15,006"
Isanti,"27,786"
Itasca,"30,007"
Jackson,"6,240"
Kanabec,"10,529"
Kandiyohi,"26,025"
Kittson,"2,708"
Koochiching,"7,416"
Lac Qui Parle,"4,351"
Lake,"7,543"
Lake Of The Woods,"2,762"
Le Sueur,"18,943"
Lincoln,"3,466"
Lyon,"14,751"
McLeod,"23,644"
Mahnomen,"2,730"
Marshall,"5,494"
Martin,"12,001"
Meeker,"15,020"
Mille Lacs,"16,693"
Morrison,"22,104"
Mower,"22,157"
Murray,"5,226"
Nicollet,"21,052"
Nobles,"9,689"
Norman,"3,780"
Olmsted,"102,629"
Otter Tail,"39,944"
Pennington,"8,050"
Pine,"18,249"
Pipestone,"5,232"
Polk,"17,174"
Pope,"7,696"
Ramsey,"315,246"
Red Lake,"2,360"
Redwood,"9,148"
Renville,"8,914"
Rice,"39,492"
Rock,"5,710"
Roseau,"9,179"
St. Louis,"130,461"
Scott,"99,094"
Sherburne,"63,992"
Sibley,"9,525"
Stearns,"95,787"
Steele,"22,707"
Stevens,"5,325"
Swift,"5,463"
Todd,"14,786"
Traverse,"2,016"
Wabasha,"14,621"
Wadena,"8,591"
Waseca,"11,204"
Washington,"186,393"
Watonwan,"5,555"
Wilkin,"3,703"
Winona,"29,092"
Wright,"98,165"
Yellow Medicine,"5,827"
TOTAL,"3,594,940"
