County,Registered Voters
County,
Aitkin,11647
Anoka,233703
Becker,21919
Beltrami,28468
Benton,25085
Big Stone,3107
Blue Earth,38694
Brown,16409
Carlton,22709
Carver,74710
Cass,21859
Chippewa,7158
Chisago,38430
Clay,36498
Clearwater,5179
Cook,4053
Cottonwood,6511
Crow Wing,46459
Dakota,283377
Dodge,13442
Douglas,27638
Faribault,8456
Fillmore,13430
Freeborn,18629
Goodhue,31484
Grant,3879
Hennepin,796460
Houston,12630
Hubbard,15068
Isanti,27549
Itasca,30105
Jackson,6154
Kanabec,10592
Kandiyohi,26076
Kittson,2686
Koochiching,7393
Lac Qui Parle,4383
Lake,7495
Lake Of The Woods,2785
Le Sueur,18871
Lincoln,3464
Lyon,14733
McLeod,23617
Mahnomen,2700
Marshall,5507
Martin,11990
Meeker,15041
Mille Lacs,16548
Morrison,21955
Mower,22079
Murray,5236
Nicollet,21009
Nobles,9681
Norman,3722
Olmsted,102308
Otter Tail,39734
Pennington,7920
Pine,18018
Pipestone,5221
Polk,16972
Pope,7620
Ramsey,315578
Red Lake,2399
Redwood,9074
Renville,8915
Rice,39177
Rock,5651
Roseau,9061
St. Louis,131497
Scott,98000
Sherburne,63969
Sibley,9609
Stearns,95789
Steele,22745
Stevens,5247
Swift,5458
Todd,14614
Traverse,2027
Wabasha,14539
Wadena,8197
Waseca,11159
Washington,185634
Watonwan,5524
Wilkin,3701
Winona,29266
Wright,97129
Yellow Medicine,5816
TOTAL,3586030
