County,Registered Voters
County,
Aitkin,"11,546"
Anoka,"231,426"
Becker,"21,672"
Beltrami,"28,172"
Benton,"24,815"
Big Stone,"3,077"
Blue Earth,"38,098"
Brown,"16,190"
Carlton,"22,471"
Carver,"74,288"
Cass,"21,567"
Chippewa,"7,024"
Chisago,"38,175"
Clay,"35,761"
Clearwater,"5,191"
Cook,"3,940"
Cottonwood,"6,467"
Crow Wing,"45,998"
Dakota,"281,083"
Dodge,"13,352"
Douglas,"27,291"
Faribault,"8,397"
Fillmore,"13,469"
Freeborn,"18,386"
Goodhue,"31,148"
Grant,"3,842"
Hennepin,"791,415"
Houston,"12,505"
Hubbard,"14,849"
Isanti,"27,350"
Itasca,"29,713"
Jackson,"6,141"
Kanabec,"10,441"
Kandiyohi,"25,786"
Kittson,"2,673"
Koochiching,"7,323"
Lac Qui Parle,"4,336"
Lake,"7,441"
Lake Of The Woods,"2,728"
Le Sueur,"18,718"
Lincoln,"3,402"
Lyon,"14,555"
McLeod,"23,346"
Mahnomen,"2,672"
Marshall,"5,435"
Martin,"11,810"
Meeker,"14,867"
Mille Lacs,"16,540"
Morrison,"21,771"
Mower,"21,812"
Murray,"5,176"
Nicollet,"20,846"
Nobles,"9,428"
Norman,"3,702"
Olmsted,"101,176"
Otter Tail,"39,408"
Pennington,"7,890"
Pine,"17,978"
Pipestone,"5,113"
Polk,"16,777"
Pope,"7,571"
Ramsey,"311,442"
Red Lake,"2,351"
Redwood,"8,999"
Renville,"8,792"
Rice,"39,209"
Rock,"5,621"
Roseau,"8,994"
St. Louis,"129,609"
Scott,"96,800"
Sherburne,"63,293"
Sibley,"9,475"
Stearns,"94,673"
Steele,"22,339"
Stevens,"5,233"
Swift,"5,383"
Todd,"14,523"
Traverse,"2,010"
Wabasha,"14,416"
Wadena,"8,474"
Waseca,"11,076"
Washington,"184,192"
Watonwan,"5,467"
Wilkin,"3,632"
Winona,"28,862"
Wright,"96,199"
Yellow Medicine,"5,777"
TOTAL,"3,552,381"
