County,Registered Voters
County
Aitkin,"11,737"
Anoka,"236,380"
Becker,"22,185"
Beltrami,"28,719"
Benton,"25,550"
Big Stone,"3,116"
Blue Earth,"38,944"
Brown,"16,424"
Carlton,"22,970"
Carver,"76,112"
Cass,"22,015"
Chippewa,"7,133"
Chisago,"39,050"
Clay,"36,956"
Clearwater,"5,307"
Cook,"4,012"
Cottonwood,"6,662"
Crow Wing,"46,790"
Dakota,"288,678"
Dodge,"13,530"
Douglas,"27,721"
Faribault,"8,613"
Fillmore,"13,735"
Freeborn,"18,757"
Goodhue,"31,763"
Grant,"3,901"
Hennepin,"806,394"
Houston,"12,674"
Hubbard,"15,165"
Isanti,"27,904"
Itasca,"30,302"
Jackson,"6,287"
Kanabec,"10,620"
Kandiyohi,"26,248"
Kittson,"2,732"
Koochiching,"7,487"
Lac Qui Parle,"4,384"
Lake,"7,597"
Lake Of The Woods,"2,779"
Le Sueur,"19,112"
Lincoln,"3,497"
Lyon,"14,848"
McLeod,"23,801"
Mahnomen,"2,776"
Marshall,"5,570"
Martin,"12,134"
Meeker,"15,158"
Mille Lacs,"16,891"
Morrison,"22,275"
Mower,"22,383"
Murray,"5,251"
Nicollet,"21,187"
Nobles,"9,842"
Norman,"3,824"
Olmsted,"103,842"
Otter Tail,"40,349"
Pennington,"8,152"
Pine,"18,542"
Pipestone,"5,295"
Polk,"17,410"
Pope,"7,784"
Ramsey,"318,242"
Red Lake,"2,369"
Redwood,"9,232"
Renville,"8,959"
Rice,"39,846"
Rock,"5,804"
Roseau,"9,281"
St. Louis,"131,563"
Scott,"99,892"
Sherburne,"64,612"
Sibley,"9,608"
Stearns,"96,990"
Steele,"22,972"
Stevens,"5,410"
Swift,"5,530"
Todd,"14,823"
Traverse,"2,039"
Wabasha,"14,692"
Wadena,"8,685"
Waseca,"11,272"
Washington,"188,587"
Watonwan,"5,643"
Wilkin,"3,746"
Winona,"29,493"
Wright,"99,120"
Yellow Medicine,"5,886"
TOTAL,"3,631,552"
