County,Registered Voters
County
Aitkin,"11,617"
Anoka,"232,552"
Becker,"21,810"
Beltrami,"28,266"
Benton,"25,010"
Big Stone,"3,083"
Blue Earth,"38,174"
Brown,"16,223"
Carlton,"22,598"
Carver,"74,655"
Cass,"21,665"
Chippewa,"7,028"
Chisago,"38,368"
Clay,"36,014"
Clearwater,"5,229"
Cook,"3,950"
Cottonwood,"6,491"
Crow Wing,"46,135"
Dakota,"282,849"
Dodge,"13,497"
Douglas,"27,327"
Faribault,"8,443"
Fillmore,"13,431"
Freeborn,"18,459"
Goodhue,"31,311"
Grant,"3,857"
Hennepin,"792,059"
Houston,"12,521"
Hubbard,"14,895"
Isanti,"27,565"
Itasca,"29,840"
Jackson,"6,185"
Kanabec,"10,442"
Kandiyohi,"25,851"
Kittson,"2,677"
Koochiching,"7,360"
Lac Qui Parle,"4,348"
Lake,"7,486"
Lake Of The Woods,"2,749"
Le Sueur,"18,840"
Lincoln,"3,438"
Lyon,"14,553"
McLeod,"23,375"
Mahnomen,"2,700"
Marshall,"5,460"
Martin,"11,900"
Meeker,"14,915"
Mille Lacs,"16,542"
Morrison,"21,977"
Mower,"21,854"
Murray,"5,174"
Nicollet,"20,918"
Nobles,"9,565"
Norman,"3,743"
Olmsted,"101,560"
Otter Tail,"39,677"
Pennington,"7,937"
Pine,"18,152"
Pipestone,"5,168"
Polk,"16,953"
Pope,"7,652"
Ramsey,"312,534"
Red Lake,"2,356"
Redwood,"9,079"
Renville,"8,846"
Rice,"39,217"
Rock,"5,642"
Roseau,"9,001"
St. Louis,"129,658"
Scott,"98,256"
Sherburne,"63,518"
Sibley,"9,506"
Stearns,"95,096"
Steele,"22,479"
Stevens,"5,266"
Swift,"5,410"
Todd,"14,647"
Traverse,"2,001"
Wabasha,"14,502"
Wadena,"8,511"
Waseca,"11,145"
Washington,"184,945"
Watonwan,"5,473"
Wilkin,"3,674"
Winona,"28,858"
Wright,"97,490"
Yellow Medicine,"5,769"
TOTAL,"3,566,952"
