	Voter Status	Voter Status	Voter Status	Voter Status
	Status	Status	Status	Status
County	Active	Inactive	Provisional	Total
Beaverhead	5,606	1,527	10	7,143
Big Horn	4,906	2,406	43	7,355
Blaine	2,937	1,046	56	4,039
Broadwater	4,870	999	19	5,888
Carbon	7,526	1,252	5	8,783
Carter	876	96		972
Cascade	40,416	9,856	69	50,341
Chouteau	3,078	534	3	3,615
Custer	6,021	1,197	2	7,220
Daniels	969	155		1,124
Dawson	4,683	853	2	5,538
Deer Lodge	5,058	845	3	5,906
Fallon	1,589	106		1,695
Fergus	6,676	980		7,656
Flathead	64,517	17,176	50	81,743
Gallatin	71,888	22,754	107	94,749
Garfield	816	80		896
Glacier	5,299	2,611	24	7,934
Golden Valley	522	38		560
Granite	2,225	413		2,638
Hill	6,894	1,952	10	8,856
Jefferson	8,437	1,387	1	9,825
Judith Basin	1,389	128		1,517
Lake	17,320	4,439	32	21,791
Lewis & Clark	43,968	8,368	68	52,404
Liberty	1,073	112		1,185
Lincoln	12,429	435	4	12,868
Madison	6,766	902		7,668
McCone	1,181	48		1,229
Meagher	1,184	206		1,390
Mineral	3,032	1,012	1	4,045
Missoula	77,430	14,016	167	91,613
Musselshell	3,076	609		3,685
Park	11,881	2,605		14,486
Petroleum	334	19	1	354
Phillips	2,235	466	1	2,702
Pondera	3,030	667		3,697
Powder River	1,125	63	5	1,193
Powell	3,288	791		4,079
Prairie	715	103		818
Ravalli	29,857	6,009	8	35,874
Richland	5,321	2,102		7,423
Roosevelt	4,280	1,468	52	5,800
Rosebud	3,684	1,127	10	4,821
Sanders	8,749	1,836	3	10,588
Sheridan	1,989	433		2,422
Silver Bow	18,617	4,822	18	23,457
Stillwater	5,889	1,181	1	7,071
Sweet Grass	2,384	476		2,860
Teton	3,707	584		4,291
Toole	2,137	440		2,577
Treasure	461	42		503
Valley	4,272	737		5,009
Wheatland	1,255	153		1,408
Wibaux	579	107		686
Yellowstone	86,228	20,710	282	107,220
Grand Total	626,674	145,479	1,057	773,210

