	Voter Status	Voter Status	Voter Status	Voter Status
	Status	Status	Status	Status
County	Active	Inactive	Provisional	Total
Beaverhead	5,586	1,563	10	7,159
Big Horn	4,950	2,373	44	7,367
Blaine	2,965	1,022	42	4,029
Broadwater	4,880	989	19	5,888
Carbon	7,555	1,244	5	8,804
Carter	875	96		971
Cascade	40,545	9,788	69	50,402
Chouteau	3,089	527	4	3,620
Custer	6,047	1,192	2	7,241
Daniels	972	150		1,122
Dawson	4,691	851	2	5,544
Deer Lodge	5,077	834	3	5,914
Fallon	1,595	106		1,701
Fergus	6,695	973		7,668
Flathead	64,864	16,942	57	81,863
Gallatin	72,127	22,643	110	94,880
Garfield	815	80		895
Glacier	5,389	2,564	34	7,987
Golden Valley	522	38		560
Granite	2,225	411		2,636
Hill	6,913	1,938	10	8,861
Jefferson	8,445	1,379	1	9,825
Judith Basin	1,394	127		1,521
Lake	17,397	4,404	31	21,832
Lewis & Clark	44,161	8,296	71	52,528
Liberty	1,074	112		1,186
Lincoln	12,480	423	4	12,907
Madison	6,787	889		7,676
McCone	1,179	47		1,226
Meagher	1,188	205		1,393
Mineral	3,049	1,008	1	4,058
Missoula	77,695	13,912	174	91,781
Musselshell	3,077	609		3,686
Park	11,912	2,592		14,504
Petroleum	331	22	1	354
Phillips	2,243	462	1	2,706
Pondera	3,037	663		3,700
Powder River	1,127	63	5	1,195
Powell	3,302	783		4,085
Prairie	717	100		817
Ravalli	29,902	5,980	8	35,890
Richland	5,342	2,091		7,433
Roosevelt	4,296	1,458	51	5,805
Rosebud	3,697	1,114	10	4,821
Sanders	8,778	1,823	3	10,604
Sheridan	1,991	432		2,423
Silver Bow	18,709	4,776	19	23,504
Stillwater	5,911	1,175	1	7,087
Sweet Grass	2,391	471		2,862
Teton	3,721	582		4,303
Toole	2,139	436		2,575
Treasure	464	41		505
Valley	4,265	745		5,010
Wheatland	1,254	152		1,406
Wibaux	578	107		685
Yellowstone	86,423	20,542	279	107,244
Grand Total	628,833	144,345	1,071	774,249

