STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Page: 1
"2024 Primary Election - July 30, 2024",,,,,,,,,,,,,,,,,,,
Compiled and Issued by the Arizona Secretary of State,,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,,
County,Precincts,,Date/Period,,,Democratic,,,Green,Libertarian,No Labels,,Republican,,Other,,Total,,
,,,,,,,,,,,,,,,,,,,
Apache,44,,PPE 2024,,,"26,444",,,17,229,129,,"10,579",,"13,679",,"51,077",,
,44,,Apr-2024,,,"26,432",,,17,228,142,,"10,649",,"13,658",,"51,126",,
,44,,P.E. 2024,,,"26,729",,,19,238,203,,"11,176",,"14,027",,"52,392",,
,,,,,,,,,,,,,,,,,,,
Cochise,55,,PPE 2024,,,"18,028",,,49,655,445,,"29,602",,"26,577",,"75,356",,
,55,,Apr-2024,,,"18,093",,,49,656,457,,"30,058",,"26,818",,"76,131",,
,55,,P.E. 2024,,,"18,286",,,59,660,521,,"30,864",,"27,695",,"78,085",,
,,,,,,,,,,,,,,,,,,,
Coconino,75,,PPE 2024,,,"33,242",,,151,715,624,,"22,362",,"27,503",,"84,597",,
,75,,Apr-2024,,,"33,542",,,155,720,643,,"22,636",,"27,824",,"85,520",,
,75,,P.E. 2024,,,"33,050",,,154,700,648,,"22,397",,"27,402",,"84,351",,
,,,,,,,,,,,,,,,,,,,
Gila,39,,PPE 2024,,,"7,971",,,0,225,146,,"15,949",,"9,284",,"33,575",,
,39,,Apr-2024,,,"7,963",,,14,225,150,,"16,048",,"9,343",,"33,743",,
,39,,P.E. 2024,,,"7,765",,,21,207,148,,"15,968",,"9,000",,"33,109",,
,,,,,,,,,,,,,,,,,,,
Graham,23,,PPE 2024,,,"4,398",,,8,120,69,,"10,055",,"5,408",,"20,058",,
,23,,Apr-2024,,,"4,396",,,9,120,70,,"10,140",,"5,474",,"20,209",,
,23,,P.E. 2024,,,"4,221",,,10,117,81,,"9,973",,"5,125",,"19,527",,
,,,,,,,,,,,,,,,,,,,
Greenlee,6,,PPE 2024,,,"1,319",,,2,51,30,,"1,697",,"1,398",,"4,497",,
,6,,Apr-2024,,,"1,319",,,2,50,29,,"1,718",,"1,411",,"4,529",,
,6,,P.E. 2024,,,"1,290",,,2,51,34,,"1,750",,"1,425",,"4,552",,
,,,,,,,,,,,,,,,,,,,
La Paz,11,,PPE 2024,,,"2,084",,,4,60,105,,"5,457",,"4,131",,"11,841",,
,11,,Apr-2024,,,"2,027",,,4,63,113,,"5,412",,"4,157",,"11,776",,
,11,,P.E. 2024,,,"2,014",,,9,65,128,,"5,468",,"4,249",,"11,933",,
,,,,,,,,,,,,,,,,,,,
Maricopa,906,,PPE 2024,,,"689,085",,,"1,587","19,623","17,687",,"839,251",,"841,882",,"2,409,115",,
,906,,Apr-2024,,,"682,927",,,"1,605","18,824","17,325",,"835,409",,"815,384",,"2,371,474",,
,906,,P.E. 2024,,,"692,294",,,"1,878","18,837","18,364",,"851,227",,"837,009",,"2,419,609",,
,,,,,,,,,,,,,,,,,,,
Mohave,24,,PPE 2024,,,"18,163",,,62,896,653,,"75,712",,"43,789",,"139,275",,
,24,,Apr-2024,,,"18,146",,,68,907,686,,"76,468",,"43,970",,"140,245",,
,24,,P.E. 2024,,,"17,808",,,77,899,765,,"76,534",,"43,215",,"139,298",,
,,,,,,,,,,,,,,,,,,,
Navajo,21,,PPE 2024,,,"22,427",,,0,394,317,,"25,333",,"18,415",,"66,886",,
,21,,Apr-2024,,,"22,290",,,4,386,329,,"25,435",,"18,267",,"66,711",,
,21,,P.E. 2024,,,"21,759",,,15,370,349,,"25,530",,"18,184",,"66,207",,
,,,,,,,,,,,,,,,,,,,
Pima,278,,PPE 2024,,,"239,048",,,777,"4,737","3,675",,"175,893",,"207,329",,"631,459",,
,278,,Apr-2024,,,"238,782",,,779,"4,753","3,728",,"176,166",,"208,247",,"632,455",,
,278,,P.E. 2024,,,"234,298",,,865,"4,598","3,881",,"175,517",,"209,155",,"628,314",,
,,,,,,,,,,,,,,,,,,,
Pinal,109,,PPE 2024,,,"62,624",,,7,"2,138","2,008",,"102,023",,"97,233",,"266,033",,
,109,,Apr-2024,,,"61,262",,,17,"2,155","2,078",,"101,452",,"94,992",,"261,956",,
,109,,P.E. 2024,,,"62,073",,,134,"2,168","2,137",,"104,200",,"97,427",,"268,139",,
,,,,,,,,,,,,,,,,,,,
