STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Page: 1,
"2020 Presidential Preference Election, Voter Registration  - March 17, 2020",,,,,,,,,,,,,,,,,,,
Compiled and Issued by the Arizona Secretary of State,,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,,
County,Precincts,,Date/Period,,,Democratic,,,Green,Libertarian,Republican,,Other,,Total,,,,
,,,,,,,,,,,,,,,,,,,
Apache,44,,OCT 2019,,,"28,704",,,54,154,"9,481",,"12,660",,"51,053",,,,
,44,,JAN 2020,,,"28,734",,,*,161,"9,589",,"12,735",,"51,219",,,,
,44,,PPE 2020,,,"28,776",,,*,164,"9,728",,"12,617",,"51,285",,,,
,,,,,,,,,,,,,,,,,,,
Cochise,49,,OCT 2019,,,"19,519",,,117,569,"28,949",,"24,428",,"73,582",,,,
,49,,JAN 2020,,,"19,771",,,*,574,"29,507",,"24,868",,"74,720",,,,
,49,,PPE 2020,,,"20,356",,,*,572,"29,906",,"24,830",,"75,664",,,,
,,,,,,,,,,,,,,,,,,,
Coconino,71,,OCT 2019,,,"35,546",,,271,835,"22,224",,"28,049",,"86,925",,,,
,71,,JAN 2020,,,"35,787",,,*,834,"22,230",,"28,094",,"86,945",,,,
,71,,PPE 2020,,,"35,901",,,*,760,"21,673",,"25,916",,"84,250",,,,
,,,,,,,,,,,,,,,,,,,
Gila,39,,OCT 2019,,,"8,512",,,31,177,"13,311",,"7,903",,"29,934",,,,
,39,,JAN 2020,,,"8,664",,,*,178,"13,744",,"8,238",,"30,824",,,,
,39,,PPE 2020,,,"8,845",,,*,184,"14,068",,"8,243",,"31,340",,,,
,,,,,,,,,,,,,,,,,,,
Graham,22,,OCT 2019,,,"5,259",,,11,97,"8,891",,"4,685",,"18,943",,,,
,22,,JAN 2020,,,"5,268",,,*,98,"8,999",,"4,771",,"19,136",,,,
,22,,PPE 2020,,,"5,082",,,*,102,"9,151",,"4,799",,"19,134",,,,
,,,,,,,,,,,,,,,,,,,
Greenlee,8,,OCT 2019,,,"1,826",,,3,41,"1,502",,"1,332",,"4,704",,,,
,8,,JAN 2020,,,"1,805",,,*,39,"1,538",,"1,353",,"4,735",,,,
,8,,PPE 2020,,,"1,756",,,*,37,"1,564",,"1,354",,"4,711",,,,
,,,,,,,,,,,,,,,,,,,
