"County","Muni","HINDI","ward","WardCode","VoterCount"
"CLARK COUNTY","TOWN OF MENTOR - CLARK COUNTY","10040","Town of Mentor - Ward 1","WD-001","295"
"CLARK COUNTY","TOWN OF PINE VALLEY - CLARK COUNTY","10042","Town of Pine Valley - Ward 1","WD-001","306"
"CLARK COUNTY","TOWN OF PINE VALLEY - CLARK COUNTY","10042","Town of Pine Valley - Ward 2","WD-002","425"
"CLARK COUNTY","TOWN OF RESEBURG - CLARK COUNTY","10044","Town of Reseburg - Ward 1","WD-001","202"
"CLARK COUNTY","TOWN OF SEIF - CLARK COUNTY","10046","Town of Seif - Ward 1","WD-001","129"
"CLARK COUNTY","TOWN OF SHERMAN - CLARK COUNTY","10048","Town of Sherman - Ward 1","WD-001","50"
"CLARK COUNTY","TOWN OF SHERMAN - CLARK COUNTY","10048","Town of Sherman - Ward 2","WD-002","324"
"CLARK COUNTY","TOWN OF SHERWOOD - CLARK COUNTY","10050","Town of Sherwood - Ward 1","WD-001","162"
"CLARK COUNTY","TOWN OF THORP - CLARK COUNTY","10052","Town of Thorp - Ward 1","WD-001","290"
"CLARK COUNTY","TOWN OF THORP - CLARK COUNTY","10052","Town Of Thorp - Ward 2","WD-002","69"
"CLARK COUNTY","TOWN OF UNITY - CLARK COUNTY","10054","Town of Unity - Ward 1","WD-001","353"
"CLARK COUNTY","TOWN OF WARNER - CLARK COUNTY","10056","Town of Warner - Ward 1","WD-001","156"
"CLARK COUNTY","TOWN OF WARNER - CLARK COUNTY","10056","Town of Warner - Ward 2","WD-002","105"
"CLARK COUNTY","TOWN OF WASHBURN - CLARK COUNTY","10058","Town of Washburn - Ward 1","WD-001","180"
"CLARK COUNTY","TOWN OF WESTON - CLARK COUNTY","10060","Town of Weston - Ward 1","WD-001","346"
"CLARK COUNTY","TOWN OF WITHEE - CLARK COUNTY","10062","Town of Withee - Ward 1","WD-001","132"
"CLARK COUNTY","TOWN OF WITHEE - CLARK COUNTY","10062","Town Of Withee - Ward 2","WD-002","205"
"CLARK COUNTY","TOWN OF WORDEN - CLARK COUNTY","10064","Town of Worden - Ward 1","WD-001","278"
"CLARK COUNTY","TOWN OF YORK - CLARK COUNTY","10066","Town of York - Ward 1","WD-001","247"
"CLARK COUNTY","TOWN OF YORK - CLARK COUNTY","10066","Town of York - Ward 2","WD-002","141"
"CLARK COUNTY","VILLAGE OF CURTISS - CLARK COUNTY","10111","Village of Curtiss - Ward 1","WD-001","53"
"CLARK COUNTY","VILLAGE OF DORCHESTER - MULTIPLE COUNTIES","10116","Village of Dorchester - Ward 1","WD-001","319"
"CLARK COUNTY","VILLAGE OF GRANTON - CLARK COUNTY","10131","Village of Granton - Ward 1","WD-001","192"
"CLARK COUNTY","VILLAGE OF UNITY - MULTIPLE COUNTIES","10186","Village of Unity - Ward 2","WD-002","68"
"CLARK COUNTY","VILLAGE OF WITHEE - CLARK COUNTY","10191","Village of Withee - Ward 1","WD-001","247"
"CLARK COUNTY","CITY OF ABBOTSFORD - MULTIPLE COUNTIES","10201","City of Abbotsford - Ward 2","WD-002","147"
"CLARK COUNTY","CITY OF ABBOTSFORD - MULTIPLE COUNTIES","10201","City of Abbotsford - Ward 3","WD-003","114"
"CLARK COUNTY","CITY OF ABBOTSFORD - MULTIPLE COUNTIES","10201","City of Abbotsford - Ward 4","WD-004","218"
"CLARK COUNTY","CITY OF ABBOTSFORD - MULTIPLE COUNTIES","10201","City of Abbotsford - Ward 5","WD-005","158"
"CLARK COUNTY","CITY OF COLBY - MULTIPLE COUNTIES","10211","City of Colby - Ward 2","WD-002","245"
"CLARK COUNTY","CITY OF COLBY - MULTIPLE COUNTIES","10211","City of Colby - Ward 3","WD-003","294"
"CLARK COUNTY","CITY OF GREENWOOD - CLARK COUNTY","10231","City of Greenwood - Ward 1","WD-001","306"
"CLARK COUNTY","CITY OF GREENWOOD - CLARK COUNTY","10231","City of Greenwood - Ward 2","WD-002","286"
"CLARK COUNTY","CITY OF LOYAL - CLARK COUNTY","10246","City of Loyal - Ward 1","WD-001","321"
"CLARK COUNTY","CITY OF LOYAL - CLARK COUNTY","10246","City of Loyal - Ward 2","WD-002","352"
"CLARK COUNTY","CITY OF NEILLSVILLE - CLARK COUNTY","10261","City of Neillsville - Ward 1","WD-001","199"
"CLARK COUNTY","CITY OF NEILLSVILLE - CLARK COUNTY","10261","City of Neillsville - Ward 2","WD-002","355"
"CLARK COUNTY","CITY OF NEILLSVILLE - CLARK COUNTY","10261","City of Neillsville - Ward 3","WD-003","254"
"CLARK COUNTY","CITY OF NEILLSVILLE - CLARK COUNTY","10261","City of Neillsville - Ward 4","WD-004","189"
"CLARK COUNTY","CITY OF NEILLSVILLE - CLARK COUNTY","10261","City of Neillsville - Ward 5","WD-005","163"
"CLARK COUNTY","CITY OF OWEN - CLARK COUNTY","10265","City of Owen - Ward 1","WD-001","189"
"CLARK COUNTY","CITY OF OWEN - CLARK COUNTY","10265","City of Owen - Ward 2","WD-002","152"
"CLARK COUNTY","CITY OF OWEN - CLARK COUNTY","10265","City of Owen - Ward 3","WD-003","142"
"CLARK COUNTY","CITY OF STANLEY - MULTIPLE COUNTIES","10281","City of Stanley - Ward 7","WD-007","11"
"CLARK COUNTY","CITY OF THORP - CLARK COUNTY","10286","City of Thorp - Ward 1","WD-001","200"
"CLARK COUNTY","CITY OF THORP - CLARK COUNTY","10286","City of Thorp - Ward 2","WD-002","225"
"CLARK COUNTY","CITY OF THORP - CLARK COUNTY","10286","City of Thorp - Ward 3","WD-003","255"
"CLARK COUNTY","CITY OF THORP - CLARK COUNTY","10286","City of Thorp - Ward 4","WD-004","137"
"COLUMBIA COUNTY","TOWN OF ARLINGTON - COLUMBIA COUNTY","11002","Town of Arlington - Ward 1","WD-001","563"
"COLUMBIA COUNTY","TOWN OF CALEDONIA - COLUMBIA COUNTY","11004","Town of Caledonia - Ward 1","WD-001","339"
"COLUMBIA COUNTY","TOWN OF CALEDONIA - COLUMBIA COUNTY","11004","Town of Caledonia - Ward 2","WD-002","700"
"COLUMBIA COUNTY","TOWN OF COLUMBUS - COLUMBIA COUNTY","11006","Town of Columbus - Ward 1","WD-001","422"
"COLUMBIA COUNTY","TOWN OF COURTLAND - COLUMBIA COUNTY","11008","Town of Courtland - Ward 1","WD-001","320"
"COLUMBIA COUNTY","TOWN OF DEKORRA - COLUMBIA COUNTY","11010","Town of Dekorra - Ward 1","WD-001","723"
"COLUMBIA COUNTY","TOWN OF DEKORRA - COLUMBIA COUNTY","11010","Town of Dekorra - Ward 2","WD-002","392"
"COLUMBIA COUNTY","TOWN OF DEKORRA - COLUMBIA COUNTY","11010","Town of Dekorra - Ward 3","WD-003","345"
"COLUMBIA COUNTY","TOWN OF DEKORRA - COLUMBIA COUNTY","11010","Town Of Dekorra - Ward 4","WD-004","332"
"COLUMBIA COUNTY","TOWN OF FORT WINNEBAGO - COLUMBIA COUNTY","11012","Town of Fort Winnebago - Ward 1","WD-001","579"
"COLUMBIA COUNTY","TOWN OF FOUNTAIN PRAIRIE - COLUMBIA COUNTY","11014","Town of Fountain Prairie - Ward 1","WD-001","90"
"COLUMBIA COUNTY","TOWN OF FOUNTAIN PRAIRIE - COLUMBIA COUNTY","11014","Town of Fountain Prairie - Ward 2","WD-002","508"
"COLUMBIA COUNTY","TOWN OF HAMPDEN - COLUMBIA COUNTY","11016","Town of Hampden - Ward 1","WD-001","409"
"COLUMBIA COUNTY","TOWN OF LEEDS - COLUMBIA COUNTY","11018","Town of Leeds - Ward 1","WD-001","558"
"COLUMBIA COUNTY","TOWN OF LEWISTON - COLUMBIA COUNTY","11020","Town of Lewiston - Ward 1","WD-001","235"
"COLUMBIA COUNTY","TOWN OF LEWISTON - COLUMBIA COUNTY","11020","Town of Lewiston - Ward 2","WD-002","395"
"COLUMBIA COUNTY","TOWN OF LEWISTON - COLUMBIA COUNTY","11020","Town Of Lewiston - Ward 3","WD-003","107"
"COLUMBIA COUNTY","TOWN OF LODI - COLUMBIA COUNTY","11022","Town of Lodi - Ward 1","WD-001","659"
"COLUMBIA COUNTY","TOWN OF LODI - COLUMBIA COUNTY","11022","Town of Lodi - Ward 2","WD-002","408"
"COLUMBIA COUNTY","TOWN OF LODI - COLUMBIA COUNTY","11022","Town of Lodi - Ward 3","WD-003","581"
"COLUMBIA COUNTY","TOWN OF LODI - COLUMBIA COUNTY","11022","Town of Lodi - Ward 4","WD-004","298"
"COLUMBIA COUNTY","TOWN OF LODI - COLUMBIA COUNTY","11022","Town of Lodi - Ward 5","WD-005","484"
"COLUMBIA COUNTY","TOWN OF LOWVILLE - COLUMBIA COUNTY","11024","Town of Lowville - Ward 1","WD-001","256"
"COLUMBIA COUNTY","TOWN OF LOWVILLE - COLUMBIA COUNTY","11024","Town of Lowville - Ward 2","WD-002","483"
"COLUMBIA COUNTY","TOWN OF MARCELLON - COLUMBIA COUNTY","11026","Town of Marcellon - Ward 1","WD-001","324"
"COLUMBIA COUNTY","TOWN OF MARCELLON - COLUMBIA COUNTY","11026","Town of Marcellon - Ward 2","WD-002","263"
"COLUMBIA COUNTY","TOWN OF NEWPORT - COLUMBIA COUNTY","11028","Town of Newport - Ward 1","WD-001","431"
"COLUMBIA COUNTY","TOWN OF OTSEGO - COLUMBIA COUNTY","11030","Town of Otsego - Ward 1","WD-001","453"
"COLUMBIA COUNTY","TOWN OF PACIFIC - COLUMBIA COUNTY","11032","Town of Pacific - Ward 1","WD-001","350"
"COLUMBIA COUNTY","TOWN OF PACIFIC - COLUMBIA COUNTY","11032","Town of Pacific - Ward 2","WD-002","569"
"COLUMBIA COUNTY","TOWN OF PACIFIC - COLUMBIA COUNTY","11032","Town of Pacific - Ward 3","WD-003","617"
"COLUMBIA COUNTY","TOWN OF PACIFIC - COLUMBIA COUNTY","11032","Town of Pacific - Ward 4","WD-004","405"
"COLUMBIA COUNTY","TOWN OF RANDOLPH - COLUMBIA COUNTY","11034","Town of Randolph - Ward 1","WD-001","474"
"COLUMBIA COUNTY","TOWN OF SCOTT - COLUMBIA COUNTY","11036","Town of Scott - Ward 1","WD-001","275"
"COLUMBIA COUNTY","TOWN OF SCOTT - COLUMBIA COUNTY","11036","Town Of Scott - Ward 2","WD-002","139"
"COLUMBIA COUNTY","TOWN OF SPRINGVALE - COLUMBIA COUNTY","11038","Town of Springvale - Ward 1","WD-001","346"
"COLUMBIA COUNTY","TOWN OF WEST POINT - COLUMBIA COUNTY","11040","Town of West Point - Ward 1","WD-001","514"
"COLUMBIA COUNTY","TOWN OF WEST POINT - COLUMBIA COUNTY","11040","Town of West Point - Ward 2","WD-002","480"
"COLUMBIA COUNTY","TOWN OF WEST POINT - COLUMBIA COUNTY","11040","Town of West Point - Ward 3","WD-003","530"
"COLUMBIA COUNTY","TOWN OF WYOCENA - COLUMBIA COUNTY","11042","Town of Wyocena - Ward 1","WD-001","546"
"COLUMBIA COUNTY","TOWN OF WYOCENA - COLUMBIA COUNTY","11042","Town of Wyocena - Ward 2","WD-002","330"
"COLUMBIA COUNTY","TOWN OF WYOCENA - COLUMBIA COUNTY","11042","Town Of Wyocena - Ward 3","WD-003","307"
"COLUMBIA COUNTY","VILLAGE OF ARLINGTON - COLUMBIA COUNTY","11101","Village of Arlington - Ward 1","WD-001","527"
"COLUMBIA COUNTY","VILLAGE OF CAMBRIA - COLUMBIA COUNTY","11111","Village of Cambria - Ward 1","WD-001","380"
"COLUMBIA COUNTY","VILLAGE OF DOYLESTOWN - COLUMBIA COUNTY","11116","Village of Doylestown - Ward 1","WD-001","172"
"COLUMBIA COUNTY","VILLAGE OF FALL RIVER - COLUMBIA COUNTY","11126","Village of Fall River - Ward 1","WD-001","517"
"COLUMBIA COUNTY","VILLAGE OF FALL RIVER - COLUMBIA COUNTY","11126","Village of Fall River - Ward 2","WD-002","471"
"COLUMBIA COUNTY","VILLAGE OF FRIESLAND - COLUMBIA COUNTY","11127","Village of Friesland - Ward 1","WD-001","193"
"COLUMBIA COUNTY","VILLAGE OF PARDEEVILLE - COLUMBIA COUNTY","11171","Village of Pardeeville - Ward 1","WD-001","274"
"COLUMBIA COUNTY","VILLAGE OF PARDEEVILLE - COLUMBIA COUNTY","11171","Village of Pardeeville - Ward 2","WD-002","357"
"COLUMBIA COUNTY","VILLAGE OF PARDEEVILLE - COLUMBIA COUNTY","11171","Village of Pardeeville - Ward 3","WD-003","569"
"COLUMBIA COUNTY","VILLAGE OF POYNETTE - COLUMBIA COUNTY","11172","Village of Poynette - Ward 1","WD-001","356"
"COLUMBIA COUNTY","VILLAGE OF POYNETTE - COLUMBIA COUNTY","11172","Village of Poynette - Ward 2","WD-002","450"
"COLUMBIA COUNTY","VILLAGE OF POYNETTE - COLUMBIA COUNTY","11172","Village of Poynette - Ward 3","WD-003","301"
"COLUMBIA COUNTY","VILLAGE OF POYNETTE - COLUMBIA COUNTY","11172","Village of Poynette - Ward 4","WD-004","345"
"COLUMBIA COUNTY","VILLAGE OF RANDOLPH - MULTIPLE COUNTIES","11176","Village of Randolph - Ward 3","WD-003","252"
"COLUMBIA COUNTY","VILLAGE OF RIO - COLUMBIA COUNTY","11177","Village of Rio - Ward 1","WD-001","203"
"COLUMBIA COUNTY","VILLAGE OF RIO - COLUMBIA COUNTY","11177","Village of Rio - Ward 2","WD-002","468"
"COLUMBIA COUNTY","VILLAGE OF WYOCENA - COLUMBIA COUNTY","11191","Village of Wyocena - Ward 1","WD-001","378"
"COLUMBIA COUNTY","CITY OF COLUMBUS - MULTIPLE COUNTIES","11211","City of Columbus - Ward 1","WD-001","448"
"COLUMBIA COUNTY","CITY OF COLUMBUS - MULTIPLE COUNTIES","11211","City of Columbus - Ward 10","WD-010","276"
"COLUMBIA COUNTY","CITY OF COLUMBUS - MULTIPLE COUNTIES","11211","City of Columbus - Ward 2","WD-002","401"
"COLUMBIA COUNTY","CITY OF COLUMBUS - MULTIPLE COUNTIES","11211","City of Columbus - Ward 3","WD-003","301"
"COLUMBIA COUNTY","CITY OF COLUMBUS - MULTIPLE COUNTIES","11211","City of Columbus - Ward 4","WD-004","422"
"COLUMBIA COUNTY","CITY OF COLUMBUS - MULTIPLE COUNTIES","11211","City of Columbus - Ward 5","WD-005","414"
"COLUMBIA COUNTY","CITY OF COLUMBUS - MULTIPLE COUNTIES","11211","City of Columbus - Ward 6","WD-006","416"
"COLUMBIA COUNTY","CITY OF COLUMBUS - MULTIPLE COUNTIES","11211","City of Columbus - Ward 7","WD-007","251"
"COLUMBIA COUNTY","CITY OF COLUMBUS - MULTIPLE COUNTIES","11211","City of Columbus - Ward 8","WD-008","215"
"COLUMBIA COUNTY","CITY OF LODI - COLUMBIA COUNTY","11246","City of Lodi - Ward 1","WD-001","299"
"COLUMBIA COUNTY","CITY OF LODI - COLUMBIA COUNTY","11246","City of Lodi - Ward 2","WD-002","335"
"COLUMBIA COUNTY","CITY OF LODI - COLUMBIA COUNTY","11246","City of Lodi - Ward 3","WD-003","495"
"COLUMBIA COUNTY","CITY OF LODI - COLUMBIA COUNTY","11246","City of Lodi - Ward 4","WD-004","539"
"COLUMBIA COUNTY","CITY OF LODI - COLUMBIA COUNTY","11246","City of Lodi - Ward 5","WD-005","449"
"COLUMBIA COUNTY","CITY OF PORTAGE - COLUMBIA COUNTY","11271","City of Portage - Ward 1","WD-001","407"
"COLUMBIA COUNTY","CITY OF PORTAGE - COLUMBIA COUNTY","11271","City of Portage - Ward 10","WD-010","194"
"COLUMBIA COUNTY","CITY OF PORTAGE - COLUMBIA COUNTY","11271","City of Portage - Ward 2","WD-002","595"
"COLUMBIA COUNTY","CITY OF PORTAGE - COLUMBIA COUNTY","11271","City of Portage - Ward 3","WD-003","436"
"COLUMBIA COUNTY","CITY OF PORTAGE - COLUMBIA COUNTY","11271","City of Portage - Ward 4","WD-004","481"
"COLUMBIA COUNTY","CITY OF PORTAGE - COLUMBIA COUNTY","11271","City of Portage - Ward 5","WD-005","509"
"COLUMBIA COUNTY","CITY OF PORTAGE - COLUMBIA COUNTY","11271","City of Portage - Ward 6","WD-006","641"
"COLUMBIA COUNTY","CITY OF PORTAGE - COLUMBIA COUNTY","11271","City of Portage - Ward 7","WD-007","500"
"COLUMBIA COUNTY","CITY OF PORTAGE - COLUMBIA COUNTY","11271","City of Portage - Ward 8","WD-008","444"
"COLUMBIA COUNTY","CITY OF PORTAGE - COLUMBIA COUNTY","11271","City of Portage - Ward 9","WD-009","478"
"COLUMBIA COUNTY","CITY OF WISCONSIN DELLS - MULTIPLE COUNTIES","11291","City of Wisconsin Dells - Ward 1","WD-001","444"
"COLUMBIA COUNTY","CITY OF WISCONSIN DELLS - MULTIPLE COUNTIES","11291","City of Wisconsin Dells - Ward 2","WD-002","362"
"COLUMBIA COUNTY","CITY OF WISCONSIN DELLS - MULTIPLE COUNTIES","11291","City of Wisconsin Dells - Ward 3","WD-003","213"
"COLUMBIA COUNTY","CITY OF WISCONSIN DELLS - MULTIPLE COUNTIES","11291","City of Wisconsin Dells - Ward 6","WD-006","304"
"CRAWFORD COUNTY","TOWN OF BRIDGEPORT - CRAWFORD COUNTY","12002","Town of Bridgeport - Ward 1","WD-001","638"
"CRAWFORD COUNTY","TOWN OF CLAYTON - CRAWFORD COUNTY","12004","Town of Clayton - Ward 1","WD-001","205"
"CRAWFORD COUNTY","TOWN OF CLAYTON - CRAWFORD COUNTY","12004","Town of Clayton - Ward 2","WD-002","262"
"CRAWFORD COUNTY","TOWN OF CLAYTON - CRAWFORD COUNTY","12004","Town of Clayton - Ward 3","WD-003","111"
"CRAWFORD COUNTY","TOWN OF EASTMAN - CRAWFORD COUNTY","12006","Town of Eastman - Ward 1","WD-001","307"
"CRAWFORD COUNTY","TOWN OF EASTMAN - CRAWFORD COUNTY","12006","Town of Eastman - Ward 2","WD-002","159"
"CRAWFORD COUNTY","TOWN OF FREEMAN - CRAWFORD COUNTY","12008","Town of Freeman - Ward 1","WD-001","491"
"CRAWFORD COUNTY","TOWN OF HANEY - CRAWFORD COUNTY","12010","Town of Haney - Ward 1","WD-001","184"
"CRAWFORD COUNTY","TOWN OF MARIETTA - CRAWFORD COUNTY","12012","Town of Marietta - Ward 1","WD-001","313"
"CRAWFORD COUNTY","TOWN OF PRAIRIE DU CHIEN - CRAWFORD COUNTY","12014","Town of Prairie du Chien - Ward 1","WD-001","540"
"CRAWFORD COUNTY","TOWN OF PRAIRIE DU CHIEN - CRAWFORD COUNTY","12014","Town of Prairie Du Chien - Ward 2","WD-002","14"
"CRAWFORD COUNTY","TOWN OF SCOTT - CRAWFORD COUNTY","12016","Town of Scott - Ward 1","WD-001","269"
"CRAWFORD COUNTY","TOWN OF SENECA - CRAWFORD COUNTY","12018","Town of Seneca - Ward 1","WD-001","512"
"CRAWFORD COUNTY","TOWN OF SENECA - CRAWFORD COUNTY","12018","Town Of Seneca - Ward 2","WD-002","70"
"CRAWFORD COUNTY","TOWN OF UTICA - CRAWFORD COUNTY","12020","Town of Utica - Ward 1","WD-001","395"
"CRAWFORD COUNTY","TOWN OF WAUZEKA - CRAWFORD COUNTY","12022","Town of Wauzeka - Ward 1","WD-001","212"
"CRAWFORD COUNTY","TOWN OF WAUZEKA - CRAWFORD COUNTY","12022","Town of Wauzeka - Ward 2","WD-002","41"
"CRAWFORD COUNTY","VILLAGE OF BELL CENTER - CRAWFORD COUNTY","12106","Village of Bell Center - Ward 1","WD-001","52"
"CRAWFORD COUNTY","VILLAGE OF DE SOTO - MULTIPLE COUNTIES","12116","Village of De Soto - Ward 2","WD-002","38"
"CRAWFORD COUNTY","VILLAGE OF EASTMAN - CRAWFORD COUNTY","12121","Village of Eastman - Ward 1","WD-001","214"
"CRAWFORD COUNTY","VILLAGE OF FERRYVILLE - CRAWFORD COUNTY","12126","Village of Ferryville - Ward 1","WD-001","154"
"CRAWFORD COUNTY","VILLAGE OF GAYS MILLS - CRAWFORD COUNTY","12131","Village of Gays Mills - Ward 1","WD-001","290"
"CRAWFORD COUNTY","VILLAGE OF LYNXVILLE - CRAWFORD COUNTY","12146","Village of Lynxville - Ward 1","WD-001","91"
"CRAWFORD COUNTY","VILLAGE OF MT. STERLING - CRAWFORD COUNTY","12151","Village of Mount Sterling - Ward 1","WD-001","93"
"CRAWFORD COUNTY","VILLAGE OF SOLDIERS GROVE - CRAWFORD COUNTY","12181","Village of Soldiers Grove - Ward 1","WD-001","288"
"CRAWFORD COUNTY","VILLAGE OF STEUBEN - CRAWFORD COUNTY","12182","Village of Steuben - Ward 1","WD-001","68"
"CRAWFORD COUNTY","VILLAGE OF WAUZEKA - CRAWFORD COUNTY","12191","Village of Wauzeka - Ward 1","WD-001","365"
"CRAWFORD COUNTY","CITY OF PRAIRIE DU CHIEN - CRAWFORD COUNTY","12271","City of Prairie du Chien - Ward 1","WD-001","523"
"CRAWFORD COUNTY","CITY OF PRAIRIE DU CHIEN - CRAWFORD COUNTY","12271","City of Prairie du Chien - Ward 2","WD-002","236"
"CRAWFORD COUNTY","CITY OF PRAIRIE DU CHIEN - CRAWFORD COUNTY","12271","City of Prairie du Chien - Ward 3","WD-003","444"
"CRAWFORD COUNTY","CITY OF PRAIRIE DU CHIEN - CRAWFORD COUNTY","12271","City of Prairie du Chien - Ward 4","WD-004","463"
"CRAWFORD COUNTY","CITY OF PRAIRIE DU CHIEN - CRAWFORD COUNTY","12271","City of Prairie du Chien - Ward 5","WD-005","508"
"CRAWFORD COUNTY","CITY OF PRAIRIE DU CHIEN - CRAWFORD COUNTY","12271","City of Prairie du Chien - Ward 6","WD-006","450"
"DANE COUNTY","TOWN OF ALBION - DANE COUNTY","13002","Town of Albion - Ward 1","WD-001","502"
"DANE COUNTY","TOWN OF ALBION - DANE COUNTY","13002","Town of Albion - Ward 2","WD-002","383"
"DANE COUNTY","TOWN OF ALBION - DANE COUNTY","13002","Town Of Albion - Ward 3","WD-003","453"
"DANE COUNTY","TOWN OF BERRY - DANE COUNTY","13004","Town of Berry - Ward 1","WD-001","333"
"DANE COUNTY","TOWN OF BERRY - DANE COUNTY","13004","Town of Berry - Ward 2","WD-002","521"
"DANE COUNTY","TOWN OF BLACK EARTH - DANE COUNTY","13006","Town of Black Earth - Ward 1","WD-001","394"
"DANE COUNTY","TOWN OF BLOOMING GROVE - DANE COUNTY","13008","Town of Blooming Grove - Ward 1","WD-001","375"
"DANE COUNTY","TOWN OF BLOOMING GROVE - DANE COUNTY","13008","Town of Blooming Grove - Ward 2","WD-002","115"
"DANE COUNTY","TOWN OF BLOOMING GROVE - DANE COUNTY","13008","Town of Blooming Grove - Ward 3","WD-003","9"
"DANE COUNTY","TOWN OF BLOOMING GROVE - DANE COUNTY","13008","Town Of Blooming Grove - Ward 4","WD-004","247"
"DANE COUNTY","TOWN OF BLOOMING GROVE - DANE COUNTY","13008","Town Of Blooming Grove - Ward 5","WD-005","276"
"DANE COUNTY","TOWN OF BLOOMING GROVE - DANE COUNTY","13008","Town Of Blooming Grove - Ward 7","WD-007","30"
"DANE COUNTY","TOWN OF BLUE MOUNDS - DANE COUNTY","13010","Town of Blue Mounds - Ward 1","WD-001","636"
"DANE COUNTY","TOWN OF BLUE MOUNDS - DANE COUNTY","13010","Town Of Blue Mounds - Ward 2","WD-002","32"
"DANE COUNTY","TOWN OF BRISTOL - DANE COUNTY","13012","Town of Bristol - Ward 1","WD-001","520"
"DANE COUNTY","TOWN OF BRISTOL - DANE COUNTY","13012","Town of Bristol - Ward 2","WD-002","661"
"DANE COUNTY","TOWN OF BRISTOL - DANE COUNTY","13012","Town of Bristol - Ward 3","WD-003","635"
"DANE COUNTY","TOWN OF BRISTOL - DANE COUNTY","13012","Town of Bristol - Ward 4","WD-004","689"
"DANE COUNTY","TOWN OF BRISTOL - DANE COUNTY","13012","Town Of Bristol - Ward 5","WD-005","527"
"DANE COUNTY","TOWN OF BURKE - DANE COUNTY","13014","Town of Burke - Ward 1","WD-001","41"
"DANE COUNTY","TOWN OF BURKE - DANE COUNTY","13014","Town of Burke - Ward 2","WD-002","584"
"DANE COUNTY","TOWN OF BURKE - DANE COUNTY","13014","Town of Burke - Ward 3","WD-003","437"
"DANE COUNTY","TOWN OF BURKE - DANE COUNTY","13014","Town of Burke - Ward 4","WD-004","518"
"DANE COUNTY","TOWN OF BURKE - DANE COUNTY","13014","Town Of Burke - Ward 5","WD-005","333"
"DANE COUNTY","TOWN OF BURKE - DANE COUNTY","13014","Town Of Burke - Ward 6","WD-006","3"
"DANE COUNTY","TOWN OF BURKE - DANE COUNTY","13014","Town Of Burke - Ward 7","WD-007","217"
"DANE COUNTY","TOWN OF CHRISTIANA - DANE COUNTY","13016","Town of Christiana - Ward 1","WD-001","377"
"DANE COUNTY","TOWN OF CHRISTIANA - DANE COUNTY","13016","Town of Christiana - Ward 2","WD-002","439"
"DANE COUNTY","TOWN OF COTTAGE GROVE - DANE COUNTY","13018","Town of Cottage Grove - Ward 1","WD-001","426"
"DANE COUNTY","TOWN OF COTTAGE GROVE - DANE COUNTY","13018","Town of Cottage Grove - Ward 2","WD-002","229"
"DANE COUNTY","TOWN OF COTTAGE GROVE - DANE COUNTY","13018","Town of Cottage Grove - Ward 3","WD-003","271"
"DANE COUNTY","TOWN OF COTTAGE GROVE - DANE COUNTY","13018","Town of Cottage Grove - Ward 4","WD-004","674"
"DANE COUNTY","TOWN OF COTTAGE GROVE - DANE COUNTY","13018","Town of Cottage Grove - Ward 5","WD-005","370"
"DANE COUNTY","TOWN OF COTTAGE GROVE - DANE COUNTY","13018","Town of Cottage Grove - Ward 6","WD-006","689"
"DANE COUNTY","TOWN OF CROSS PLAINS - DANE COUNTY","13020","Town of Cross Plains - Ward 1","WD-001","401"
"DANE COUNTY","TOWN OF CROSS PLAINS - DANE COUNTY","13020","Town of Cross Plains - Ward 2","WD-002","738"
"DANE COUNTY","TOWN OF DANE - DANE COUNTY","13022","Town of Dane - Ward 1","WD-001","611"
"DANE COUNTY","TOWN OF DEERFIELD - DANE COUNTY","13024","Town of Deerfield - Ward 1","WD-001","658"
"DANE COUNTY","TOWN OF DEERFIELD - DANE COUNTY","13024","Town of Deerfield - Ward 2","WD-002","455"
"DANE COUNTY","TOWN OF DUNKIRK - DANE COUNTY","13026","Town of Dunkirk - Ward 1","WD-001","314"
"DANE COUNTY","TOWN OF DUNKIRK - DANE COUNTY","13026","Town of Dunkirk - Ward 2","WD-002","64"
"DANE COUNTY","TOWN OF DUNKIRK - DANE COUNTY","13026","Town of Dunkirk - Ward 3","WD-003","407"
"DANE COUNTY","TOWN OF DUNKIRK - DANE COUNTY","13026","Town of Dunkirk - Ward 4","WD-004","139"
"DANE COUNTY","TOWN OF DUNKIRK - DANE COUNTY","13026","Town of Dunkirk - Ward 5","WD-005","131"
"DANE COUNTY","TOWN OF DUNKIRK - DANE COUNTY","13026","Town of Dunkirk - Ward 6","WD-006","271"
"DANE COUNTY","TOWN OF DUNN - DANE COUNTY","13028","Town of Dunn - Ward 1","WD-001","464"
"DANE COUNTY","TOWN OF DUNN - DANE COUNTY","13028","Town of Dunn - Ward 2","WD-002","739"
"DANE COUNTY","TOWN OF DUNN - DANE COUNTY","13028","Town of Dunn - Ward 3","WD-003","408"
"DANE COUNTY","TOWN OF DUNN - DANE COUNTY","13028","Town of Dunn - Ward 4","WD-004","626"
"DANE COUNTY","TOWN OF DUNN - DANE COUNTY","13028","Town of Dunn - Ward 5","WD-005","301"
"DANE COUNTY","TOWN OF DUNN - DANE COUNTY","13028","Town of Dunn - Ward 6","WD-006","536"
"DANE COUNTY","TOWN OF DUNN - DANE COUNTY","13028","Town of Dunn - Ward 7","WD-007","546"
"DANE COUNTY","TOWN OF MAZOMANIE - DANE COUNTY","13034","Town of Mazomanie - Ward 1","WD-001","464"
