"County","Muni","HINDI","ward","WardCode","VoterCount"
"BARRON COUNTY","TOWN OF DOYLE - BARRON COUNTY","03024","Town of Doyle - Ward 1","WD-001","120"
"BARRON COUNTY","TOWN OF DOYLE - BARRON COUNTY","03024","Town of Doyle - Ward 2","WD-002","204"
"BARRON COUNTY","TOWN OF LAKELAND - BARRON COUNTY","03026","Town of Lakeland - Ward 1","WD-001","126"
"BARRON COUNTY","TOWN OF LAKELAND - BARRON COUNTY","03026","Town of Lakeland - Ward 2","WD-002","538"
"BARRON COUNTY","TOWN OF MAPLE GROVE - BARRON COUNTY","03028","Town of Maple Grove - Ward 1","WD-001","445"
"BARRON COUNTY","TOWN OF MAPLE GROVE - BARRON COUNTY","03028","Town of Maple Grove - Ward 2","WD-002","69"
"BARRON COUNTY","TOWN OF MAPLE PLAIN - BARRON COUNTY","03030","Town of Maple Plain - Ward 1","WD-001","583"
"BARRON COUNTY","TOWN OF OAK GROVE - BARRON COUNTY","03032","Town of Oak Grove - Ward 1","WD-001","285"
"BARRON COUNTY","TOWN OF OAK GROVE - BARRON COUNTY","03032","Town of Oak Grove - Ward 2","WD-002","277"
"BARRON COUNTY","TOWN OF PRAIRIE FARM - BARRON COUNTY","03034","Town of Prairie Farm - Ward 1","WD-001","204"
"BARRON COUNTY","TOWN OF PRAIRIE FARM - BARRON COUNTY","03034","Town of Prairie Farm - Ward 2","WD-002","139"
"BARRON COUNTY","TOWN OF PRAIRIE LAKE - BARRON COUNTY","03036","Town of Prairie Lake - Ward 1","WD-001","583"
"BARRON COUNTY","TOWN OF PRAIRIE LAKE - BARRON COUNTY","03036","Town of Prairie Lake - Ward 2","WD-002","486"
"BARRON COUNTY","TOWN OF RICE LAKE - BARRON COUNTY","03038","Town of Rice Lake - Ward 1","WD-001","533"
"BARRON COUNTY","TOWN OF RICE LAKE - BARRON COUNTY","03038","Town of Rice Lake - Ward 2","WD-002","478"
"BARRON COUNTY","TOWN OF RICE LAKE - BARRON COUNTY","03038","Town of Rice Lake - Ward 3","WD-003","351"
"BARRON COUNTY","TOWN OF RICE LAKE - BARRON COUNTY","03038","Town of Rice Lake - Ward 4","WD-004","360"
"BARRON COUNTY","TOWN OF SIOUX CREEK - BARRON COUNTY","03040","Town of Sioux Creek - Ward 1","WD-001","416"
"BARRON COUNTY","TOWN OF STANFOLD - BARRON COUNTY","03042","Town of Stanfold - Ward 1","WD-001","401"
"BARRON COUNTY","TOWN OF STANLEY - BARRON COUNTY","03044","Town of Stanley - Ward 1","WD-001","275"
"BARRON COUNTY","TOWN OF STANLEY - BARRON COUNTY","03044","Town of Stanley - Ward 2","WD-002","399"
"BARRON COUNTY","TOWN OF STANLEY - BARRON COUNTY","03044","Town of Stanley - Ward 3","WD-003","375"
"BARRON COUNTY","TOWN OF STANLEY - BARRON COUNTY","03044","Town of Stanley - Ward 4","WD-004","467"
"BARRON COUNTY","TOWN OF SUMNER - BARRON COUNTY","03046","Town of Sumner - Ward 1","WD-001","462"
"BARRON COUNTY","TOWN OF TURTLE LAKE - BARRON COUNTY","03048","Town of Turtle Lake - Ward 1","WD-001","385"
"BARRON COUNTY","TOWN OF VANCE CREEK - BARRON COUNTY","03050","Town of Vance Creek - Ward 1","WD-001","413"
"BARRON COUNTY","VILLAGE OF ALMENA - BARRON COUNTY","03101","Village of Almena - Ward 1","WD-001","346"
