"County","Muni","HINDI","ward","WardCode","VoterCount"
"ADAMS COUNTY","TOWN OF ADAMS - ADAMS COUNTY","01002","Town of Adams - Ward 1","WD-001","153"
"ADAMS COUNTY","TOWN OF ADAMS - ADAMS COUNTY","01002","Town of Adams - Ward 2","WD-002","469"
"ADAMS COUNTY","TOWN OF ADAMS - ADAMS COUNTY","01002","Town of Adams - Ward 3","WD-003","206"
"ADAMS COUNTY","TOWN OF BIG FLATS - ADAMS COUNTY","01004","Town of Big Flats - Ward 1","WD-001","238"
"ADAMS COUNTY","TOWN OF BIG FLATS - ADAMS COUNTY","01004","Town of Big Flats - Ward 2","WD-002","406"
"ADAMS COUNTY","TOWN OF COLBURN - ADAMS COUNTY","01006","Town of Colburn - Ward 1","WD-001","164"
"ADAMS COUNTY","TOWN OF DELL PRAIRIE - ADAMS COUNTY","01008","Town of Dell Prairie - Ward 1","WD-001","689"
"ADAMS COUNTY","TOWN OF DELL PRAIRIE - ADAMS COUNTY","01008","Town of Dell Prairie - Ward 2","WD-002","353"
"ADAMS COUNTY","TOWN OF EASTON - ADAMS COUNTY","01010","Town of Easton - Ward 1","WD-001","658"
"ADAMS COUNTY","TOWN OF JACKSON - ADAMS COUNTY","01012","Town of Jackson - Ward 1","WD-001","509"
"ADAMS COUNTY","TOWN OF JACKSON - ADAMS COUNTY","01012","Town of Jackson - Ward 2","WD-002","238"
"ADAMS COUNTY","TOWN OF LEOLA - ADAMS COUNTY","01014","Town of Leola - Ward 1","WD-001","187"
"ADAMS COUNTY","TOWN OF LINCOLN - ADAMS COUNTY","01016","Town of Lincoln - Ward 1","WD-001","227"
"ADAMS COUNTY","TOWN OF MONROE - ADAMS COUNTY","01018","Town of Monroe - Ward 1","WD-001","322"
"ADAMS COUNTY","TOWN OF NEW CHESTER - ADAMS COUNTY","01020","Town of New Chester - Ward 1","WD-001","37"
"ADAMS COUNTY","TOWN OF NEW CHESTER - ADAMS COUNTY","01020","Town of New Chester - Ward 2","WD-002","404"
"ADAMS COUNTY","TOWN OF NEW CHESTER - ADAMS COUNTY","01020","Town of New Chester - Ward 3","WD-003","124"
"ADAMS COUNTY","TOWN OF NEW HAVEN - ADAMS COUNTY","01022","Town of New Haven - Ward 1","WD-001","428"
"ADAMS COUNTY","TOWN OF PRESTON - ADAMS COUNTY","01024","Town of Preston - Ward 1","WD-001","621"
