"date","registered","active","weekday","regdiff","actdiff"
2024-09-26,8175639,7083243,"Thursday",18228,26036
2024-10-03,8191238,7105819,"Thursday",15599,22576
2024-10-10,8206875,7129919,"Thursday",15637,24100
