"date","registered","active","weekday","regdiff","actdiff"
2024-09-27,8177907,7086956,"Friday",17614,24756
2024-10-04,8195799,7112447,"Friday",17892,25491
2024-10-10,8206875,7129919,"Thursday",11076,17472
2024-10-18,8244248,7189984,"Friday",37373,60065
2024-10-25,8248732,7215572,"Friday",4484,25588
