"BallotReturnedDate","rep","dem","other"
2024-05-22,0,0,1
2024-06-03,0,3,1
2024-06-04,1,5,1
2024-06-06,8,5,2
2024-07-03,8,5,2
2024-07-04,8,5,2
2024-07-05,8,5,2
2024-07-06,8,5,2
2024-07-07,8,5,2
2024-07-08,8,5,2
2024-07-09,8,5,2
2024-07-10,8,5,2
2024-07-11,8,5,2
2024-07-12,8,5,2
2024-07-13,8,5,2
2024-07-14,8,5,2
2024-07-15,8,5,2
2024-07-16,8,5,2
2024-07-17,8,5,2
2024-07-18,8,5,2
2024-07-19,8,5,2
2024-07-20,8,5,2
2024-07-21,8,5,2
2024-07-22,8,5,2
2024-07-23,8,5,2
2024-07-24,8,5,2
2024-07-25,8,5,2
2024-07-26,8,5,2
2024-07-27,8,5,2
2024-07-28,8,5,2
2024-07-29,8,5,2
2024-07-30,8,5,2
2024-07-31,8,5,2
2024-08-01,8,5,2
2024-08-02,8,5,2
2024-08-03,8,5,2
2024-08-04,8,5,2
2024-08-05,8,5,2
2024-08-06,8,5,2
2024-08-07,8,5,2
2024-08-08,8,5,2
2024-08-09,8,5,2
2024-08-10,8,5,2
2024-08-11,8,5,2
2024-08-12,8,5,2
2024-08-13,8,5,2
2024-08-14,8,5,2
2024-08-15,8,5,2
2024-08-16,8,5,2
2024-08-17,8,5,2
2024-08-18,8,5,2
2024-08-19,8,5,2
2024-08-20,8,5,2
2024-08-21,8,5,2
2024-08-22,8,5,2
2024-08-23,8,5,2
2024-08-24,8,5,2
2024-08-25,8,5,2
2024-08-26,8,5,2
2024-08-27,8,5,2
2024-08-28,8,5,2
2024-08-29,8,5,2
2024-08-30,8,6,2
2024-08-31,8,6,2
2024-09-01,8,6,2
2024-09-02,8,7,3
2024-09-03,10,14,5
2024-09-04,11,17,5
2024-09-05,13,23,6
2024-09-06,16,29,6
2024-09-07,16,29,6
2024-09-08,17,32,7
2024-09-09,17,32,7
2024-09-10,25,39,8
2024-09-11,39,52,12
2024-09-12,40,59,13
2024-09-13,41,62,13
2024-09-14,42,68,14
2024-09-15,42,73,14
2024-09-16,61,105,18
2024-09-17,75,132,31
2024-09-18,92,145,36
2024-09-19,99,158,40
2024-09-20,117,189,48
2024-09-21,128,202,49
2024-09-22,128,202,49
2024-09-23,162,254,68
2024-09-24,186,290,79
2024-09-25,221,371,101
2024-09-26,269,461,120
2024-09-27,342,635,161
2024-09-28,349,656,167
2024-09-29,354,687,175
2024-09-30,548,1048,258
2024-10-01,785,1526,344
2024-10-02,2220,10334,1827
2024-10-03,3245,15438,2550
2024-10-04,4549,22023,3429
2024-10-05,5737,28878,4155
2024-10-06,5798,29011,4180
2024-10-07,11602,58667,6681
2024-10-08,14078,70516,7892
2024-10-09,27825,129317,13930
2024-10-10,35913,164481,17695
2024-10-11,44774,207585,22002
2024-10-12,52859,279075,28433
2024-10-13,54411,296288,29814
2024-10-14,64272,338860,34583
2024-10-15,82137,391805,42013
2024-10-16,96493,443165,48017
2024-10-17,115992,512825,56816
2024-10-18,146734,608837,69660
2024-10-19,157629,640484,73966
2024-10-20,159496,658393,75855
2024-10-21,190295,755596,89289
2024-10-22,227263,854353,105519
2024-10-23,260529,947540,120012
2024-10-24,292988,1029917,133143
2024-10-25,322745,1104860,146123
2024-10-26,346784,1171325,158459
2024-10-27,354232,1196448,162694
2024-10-28,389946,1272097,179190
2024-10-29,425507,1359453,197551
2024-10-30,466852,1438975,217769
2024-10-31,502194,1508115,235075
2024-11-01,529153,1554754,248389
2024-11-02,547283,1579100,257060
2024-11-03,554840,1594476,261889
2024-11-04,585713,1640791,278155
2024-11-05,610261,1679746,293746
2024-11-06,619600,1693908,299662
2024-11-07,620269,1694698,300036
