dist,Republican,Democratic,Libertarian,LegalMarijuanaNOW,NoLabelsNebraska,Nonpartisan,total
1,189535,115699,6663,2605,118,97171,411791
2,155059,141336,6343,2924,173,103306,409141
3,264320,73032,4984,1755,75,72642,416808
