dist,Republican,Democratic,Libertarian,LegalMarijuanaNOW,NoLabelsNebraska,Nonpartisan,total
1,188916,115474,6642,2493,51,96838,410414
2,154644,141129,6368,2828,95,102944,408008
3,263773,73194,4986,1693,37,72547,416230
