dist,Republican,Democratic,Libertarian,LegalMarijuanaNOW,Nonpartisan,total
1,188417,115744,6692,2397,96730,409980
2,154100,141327,6367,2661,102322,406777
3,262949,73586,4977,1626,72516,415654
