dist,Republican,Democratic,Libertarian,LegalMarijuanaNOW,Nonpartisan,total
1,187919,115868,6702,2310,96484,409283
2,153422,141183,6371,2536,101715,405227
3,262332,73768,4973,1571,72409,415053
