dist,Republican,Democratic,Libertarian,LegalMarijuanaNOW,Nonpartisan,total
1,186808,116416,6712,2122,95627,407685
2,152363,141711,6411,2335,100868,403688
3,261603,74792,4987,1440,72230,415052
