dist,Republican,Democratic,Libertarian,LegalMarijuanaNOW,Nonpartisan,total
1,188274,115625,6671,2398,96633,409601
2,154109,141273,6362,2665,102263,406672
3,262943,73512,4979,1626,72464,415524
