dist,Republican,Democratic,Libertarian,LegalMarijuanaNOW,Nonpartisan,total
1,187264,116101,6709,2178,95739,407991
2,153016,141483,6398,2412,101270,404579
3,261917,74482,4982,1492,72215,415088
