County Name,2020_Precincts,voters_2020,2020_sus,2020_nsus,2024_Precincts,voters_2024,2024_sus,2024_nsus,key_counties,ch
JEFF DAVIS,5,1626,112,1514,6,1552,180,1372,,-4.55104551
JEFFERSON,109,146950,20869,126081,105,145236,16787,128449,,-1.166383124
JIM HOGG,5,3824,514,3310,6,3613,460,3153,,-5.517782427
JIM WELLS,21,26363,2440,23923,22,25959,2896,23063,,-1.532450783
JOHNSON,36,100757,11949,88808,44,122989,14415,108574,,22.06496819
JONES,11,9287,163,9124,5,10718,846,9872,,15.40863573
KARNES,15,8132,700,7432,16,8340,921,7419,,2.55779636
KAUFMAN,30,75777,10071,65706,37,101008,9063,91945,,33.29638281
KENDALL,11,31742,3331,28411,18,37723,1786,35937,,18.842543
KENEDY,6,299,78,221,7,270,55,215,,-9.698996656
KENT,6,592,45,547,7,592,28,564,,0
KERR,21,36119,3975,32144,21,38993,4376,34617,,7.957030926
KIMBLE,7,2977,279,2698,8,3245,251,2994,,9.00235136
KING,4,174,11,163,5,158,9,149,,-9.195402299
KINNEY,4,2219,248,1971,5,2180,186,1994,,-1.757548445
KLEBERG,20,18093,2484,15609,18,18245,3133,15112,,0.840103908
KNOX,6,2371,306,2065,7,2220,158,2062,,-6.368620835
LAMAR,32,31414,4221,27193,26,32359,3470,28889,,3.008212899
LAMB,12,7953,802,7151,12,7772,813,6959,,-2.275870741
LAMPASAS,10,14535,1843,12692,11,16282,720,15562,,12.01926385
LASALLE,7,4364,406,3958,7,4203,623,3580,,-3.689275894
LAVACA,19,13277,1023,12254,12,14112,1228,12884,,6.289071326
LEE,15,10635,977,9658,16,11739,1090,10649,,10.38081805
LEON,17,11300,771,10529,15,12284,936,11348,,8.707964602
LIBERTY,33,44872,5280,39592,22,52101,4973,47128,,16.11026921
LIMESTONE,22,13566,1639,11927,21,14098,1230,12868,,3.921568627
LIPSCOMB,9,1970,242,1728,8,1790,109,1681,,-9.137055838
LIVE OAK,14,7313,736,6577,13,7597,1028,6569,,3.883495146
LLANO,9,15782,1853,13929,10,17939,1892,16047,,13.66746927
LOVING,4,113,21,92,5,129,19,110,,14.15929204
LUBBOCK,97,176740,32110,144630,100,188735,31263,157472,,6.786805477
LYNN,15,3934,288,3646,8,4148,285,3863,,5.439755974
MADISON,4,7542,876,6666,5,8234,779,7455,,9.17528507
MARION,10,7325,872,6453,12,7652,497,7155,,4.464163823
MARTIN,6,3317,302,3015,7,3422,331,3091,,3.165511004
MASON,4,3031,205,2826,5,3211,245,2966,,5.938634114
MATAGORDA,18,21498,3366,18132,19,21838,3073,18765,,1.581542469
MAVERICK,14,32459,2224,30235,17,34947,4103,30844,,7.665054376
