"date","total","total_young","dem_young","dem_total","rep_young","rep_total","other","other_young"
2024-07-05,10253,2215,368,2113,384,2165,5975,1463
2024-07-12,12160,2718,497,2462,459,2671,7027,1762
2024-07-19,14756,3257,515,2635,683,3906,8215,2059
2024-07-26,21093,5417,1491,5557,811,4330,11206,3115
2024-08-02,18407,4361,1042,4745,747,3799,9863,2572
2024-08-09,17412,4160,951,4395,659,3552,9465,2550
2024-08-16,17729,4587,1104,4373,721,3623,9733,2762
2024-08-23,18796,5124,1270,5143,812,4181,9472,3042
2024-08-30,25078,6538,1399,6071,814,4915,14092,4325
2024-09-06,20038,5158,1110,4901,739,4432,10705,3309
2024-09-13,31827,8545,1978,8199,1280,7462,16166,5287
2024-09-20,30450,8237,2038,7982,1462,7678,14790,4737
