"date","total","dem","rep","other"
2024-07-05,10247,2124,2165,5958
2024-07-12,12122,2467,2673,6982
2024-07-19,14733,2642,3902,8189
2024-07-26,21044,5556,4330,11158
2024-08-02,18369,4757,3795,9817
2024-08-09,17377,4396,3556,9425
2024-08-16,18008,4386,3631,9991
2024-08-23,18810,5150,4186,9474
2024-08-30,26842,6320,4997,15525
2024-09-06,20592,5036,4489,11067
2024-09-13,32738,8402,7565,16771
2024-09-20,34220,8830,8159,17231
