"date","total","total_young","dem_young","dem_total","rep_young","rep_total","other","other_young"
2024-07-01,12269,2803,412,2289,491,2658,7322,1900
2024-07-08,10109,2211,387,2087,343,2103,5919,1481
2024-07-15,12494,2800,525,2552,578,3097,6845,1697
2024-07-22,16123,3744,730,3217,675,3931,8975,2339
2024-07-29,19803,5080,1396,5287,808,4155,10361,2876
2024-08-05,16406,3843,886,4123,671,3432,8851,2286
2024-08-12,14249,3367,895,3916,602,3263,7070,1870
2024-08-19,12910,3224,816,3392,624,3236,6282,1784
