"date","total","total_young","dem_young","dem_total","rep_young","rep_total","other","other_young"
2024-07-05,10281,2231,368,2101,380,2168,6012,1483
2024-07-12,12201,2724,495,2449,456,2666,7086,1773
2024-07-19,14834,3279,518,2639,682,3905,8290,2079
2024-07-26,21261,5469,1493,5549,811,4337,11375,3165
2024-08-02,18540,4418,1049,4747,748,3796,9997,2621
2024-08-09,17340,4144,945,4351,662,3546,9443,2537
2024-08-16,17053,4352,1060,4267,715,3602,9184,2577
2024-08-23,17821,4366,1101,4923,720,4060,8838,2545
2024-08-30,21721,5452,1241,5572,777,4748,11401,3434
2024-09-06,16932,3822,872,4357,693,4233,8342,2257
