"date","total","total_young","dem_young","dem_total","rep_young","rep_total","other","other_young"
2024-07-05,10171,2218,367,2088,381,2161,5922,1470
2024-07-12,12161,2702,494,2446,456,2663,7052,1752
2024-07-19,14824,3286,511,2610,684,3911,8303,2091
2024-07-26,21035,5416,1483,5505,816,4328,11202,3117
2024-08-02,18101,4317,1036,4662,742,3758,9681,2539
2024-08-09,16570,3950,921,4241,656,3499,8830,2373
2024-08-16,16033,4050,1010,4125,690,3514,8394,2350
2024-08-23,16681,3882,1011,4684,683,3898,8099,2188
2024-08-30,17371,3971,956,4616,676,4245,8510,2339
