"date","total","total_young","dem_young","dem_total","rep_young","rep_total","other","other_young"
2024-07-01,12357,2827,416,2313,491,2662,7382,1920
2024-07-08,10535,2297,393,2120,344,2110,6305,1560
2024-07-15,12500,2812,526,2547,578,3094,6859,1708
2024-07-22,16645,3881,750,3314,691,3994,9337,2440
2024-07-29,20550,5274,1449,5508,831,4279,10763,2994
2024-08-05,17656,4128,924,4391,695,3582,9683,2509
2024-08-12,16462,3911,972,4293,644,3477,8692,2295
2024-08-19,15940,4059,961,3988,702,3615,8337,2396
2024-08-26,17366,3965,1077,5102,672,4090,8174,2216
