"date","total","dem","rep","other"
2024-07-05,10198,2129,2161,5908
2024-07-12,12088,2474,2680,6934
2024-07-19,14685,2637,3900,8148
2024-07-26,20993,5547,4341,11105
2024-08-02,18308,4763,3799,9746
2024-08-09,17311,4385,3558,9368
2024-08-16,17919,4378,3630,9911
2024-08-23,18749,5160,4190,9399
2024-08-30,27284,6419,5033,15832
2024-09-06,21020,5167,4545,11308
2024-09-13,33474,8625,7668,17181
2024-09-20,36282,9255,8382,18645
2024-09-27,29259,7424,7389,14446
