"date","total","dem","rep","other"
2024-07-05,10253,2113,2165,5975
2024-07-12,12160,2462,2671,7027
2024-07-19,14756,2635,3906,8215
2024-07-26,21093,5557,4330,11206
2024-08-02,18407,4745,3799,9863
2024-08-09,17412,4395,3552,9465
2024-08-16,17729,4373,3623,9733
2024-08-23,18796,5143,4181,9472
2024-08-30,25078,6071,4915,14092
2024-09-06,20038,4901,4432,10705
2024-09-13,31827,8199,7462,16166
2024-09-20,30450,7982,7678,14790
