
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,3300,3110,1525
ASHLAND COUNTY,3096,3071,1828
BARRON COUNTY,7317,7204,3708
BAYFIELD COUNTY,4247,4154,2451
BROWN COUNTY,67181,66544,34856
BUFFALO COUNTY,1673,1619,683
BURNETT COUNTY,2772,2571,1285
CALUMET COUNTY,11982,11886,5686
CHIPPEWA COUNTY,11364,11205,5790
CLARK COUNTY,3083,2855,1320
COLUMBIA COUNTY,11597,11478,6390
CRAWFORD COUNTY,2575,2503,1231
DANE COUNTY,197742,196454,116869
DODGE COUNTY,13475,13392,6690
DOOR COUNTY,8271,8169,4632
DOUGLAS COUNTY,8960,8890,5276
DUNN COUNTY,6927,6860,3361
EAU CLAIRE COUNTY,20706,20487,11114
FLORENCE COUNTY,969,893,504
FOND DU LAC COUNTY,18878,18097,9360
FOREST COUNTY,1523,1474,740
GRANT COUNTY,7896,7696,3807
GREEN COUNTY,7018,6927,3865
GREEN LAKE COUNTY,2881,2791,1405
IOWA COUNTY,5201,5174,2849
IRON COUNTY,1629,1602,833
JACKSON COUNTY,2250,2232,1037
JEFFERSON COUNTY,16300,15957,7337
JUNEAU COUNTY,3396,3284,1493
KENOSHA COUNTY,34091,33923,16301
KEWAUNEE COUNTY,3670,3652,1869
LA CROSSE COUNTY,27962,27855,15396
LAFAYETTE COUNTY,2289,2198,1134
LANGLADE COUNTY,2993,2850,1462
LINCOLN COUNTY,5118,5051,2492
MANITOWOC COUNTY,14287,14211,7853
MARATHON COUNTY,27266,26985,14244
MARINETTE COUNTY,7178,7103,3796
MARQUETTE COUNTY,2503,2373,1320
MENOMINEE COUNTY,422,399,236
MILWAUKEE COUNTY,228468,226564,107781
MONROE COUNTY,5898,5802,2879
OCONTO COUNTY,7338,7180,3683
ONEIDA COUNTY,9540,9330,5069
OUTAGAMIE COUNTY,45171,44992,21605
OZAUKEE COUNTY,25673,25578,13279
PEPIN COUNTY,1167,1105,463
PIERCE COUNTY,7460,7404,3495
POLK COUNTY,6960,6802,3123
PORTAGE COUNTY,15421,15316,8718
PRICE COUNTY,2566,2390,1134
RACINE COUNTY,39687,39427,17785
RICHLAND COUNTY,2813,2550,1186
ROCK COUNTY,33710,33536,18362
RUSK COUNTY,1922,1873,833
ST. CROIX COUNTY,20599,20476,9976
SAUK COUNTY,13651,13392,7407
SAWYER COUNTY,3683,3572,1946
SHAWANO COUNTY,6166,6055,3310
SHEBOYGAN COUNTY,22272,22095,11776
TAYLOR COUNTY,2594,2458,1230
TREMPEALEAU COUNTY,3404,3166,1567
VERNON COUNTY,4803,4258,1500
VILAS COUNTY,5978,5832,3335
WALWORTH COUNTY,19436,19284,9480
WASHBURN COUNTY,3218,3077,1578
WASHINGTON COUNTY,30863,30521,14590
WAUKESHA COUNTY,112517,111531,54425
WAUPACA COUNTY,8518,8471,4409
WAUSHARA COUNTY,3769,3719,1898
WINNEBAGO COUNTY,39270,39022,20398
WOOD COUNTY,13345,13198,7501
TOTAL,1329868,1315155,679749
