"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2024 General Election","01002","TOWN OF ADAMS - ADAMS COUNTY","113","112","74","0"
"2024 General Election","01004","TOWN OF BIG FLATS - ADAMS COUNTY","91","91","59","23"
"2024 General Election","01006","TOWN OF COLBURN - ADAMS COUNTY","24","23","7","0"
"2024 General Election","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","192","191","143","56"
"2024 General Election","01010","TOWN OF EASTON - ADAMS COUNTY","90","89","57","0"
"2024 General Election","01012","TOWN OF JACKSON - ADAMS COUNTY","133","133","79","0"
"2024 General Election","01014","TOWN OF LEOLA - ADAMS COUNTY","21","20","15","0"
"2024 General Election","01016","TOWN OF LINCOLN - ADAMS COUNTY","29","29","21","0"
"2024 General Election","01018","TOWN OF MONROE - ADAMS COUNTY","38","38","31","0"
"2024 General Election","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","84","84","56","0"
"2024 General Election","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","49","49","30","0"
"2024 General Election","01024","TOWN OF PRESTON - ADAMS COUNTY","135","134","88","0"
"2024 General Election","01026","TOWN OF QUINCY - ADAMS COUNTY","157","157","114","35"
"2024 General Election","01028","TOWN OF RICHFIELD - ADAMS COUNTY","7","7","2","0"
"2024 General Election","01030","TOWN OF ROME - ADAMS COUNTY","807","807","700","395"
"2024 General Election","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","149","148","107","27"
"2024 General Election","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","94","94","67","0"
"2024 General Election","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","59","59","44","6"
"2024 General Election","01201","CITY OF ADAMS - ADAMS COUNTY","122","122","93","29"
"2024 General Election","02002","TOWN OF AGENDA - ASHLAND COUNTY","29","29","19","0"
"2024 General Election","02004","TOWN OF ASHLAND - ASHLAND COUNTY","43","26","0","0"
"2024 General Election","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","38","37","31","4"
"2024 General Election","02008","TOWN OF GINGLES - ASHLAND COUNTY","84","83","4","4"
"2024 General Election","02010","TOWN OF GORDON - ASHLAND COUNTY","38","38","26","0"
"2024 General Election","02012","TOWN OF JACOBS - ASHLAND COUNTY","30","28","15","0"
"2024 General Election","02014","TOWN OF LA POINTE - ASHLAND COUNTY","72","72","53","19"
"2024 General Election","02016","TOWN OF MARENGO - ASHLAND COUNTY","29","29","11","0"
"2024 General Election","02018","TOWN OF MORSE - ASHLAND COUNTY","53","53","31","1"
"2024 General Election","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","8","8","5","1"
"2024 General Election","02022","TOWN OF SANBORN - ASHLAND COUNTY","29","29","13","0"
"2024 General Election","02024","TOWN OF SHANAGOLDEN - ASHLAND COUNTY","12","11","2","0"
"2024 General Election","02026","TOWN OF WHITE RIVER - ASHLAND COUNTY","68","68","40","0"
"2024 General Election","02106","VILLAGE OF BUTTERNUT - ASHLAND COUNTY","22","21","14","7"
"2024 General Election","02201","CITY OF ASHLAND - MULTIPLE COUNTIES","962","961","745","260"
"2024 General Election","02251","CITY OF MELLEN - ASHLAND COUNTY","42","42","33","5"
"2024 General Election","03002","TOWN OF ALMENA - BARRON COUNTY","82","79","53","2"
"2024 General Election","03004","TOWN OF ARLAND - BARRON COUNTY","35","33","25","0"
"2024 General Election","03006","TOWN OF BARRON - BARRON COUNTY","52","49","32","14"
"2024 General Election","03008","TOWN OF BEAR LAKE - BARRON COUNTY","82","82","58","20"
"2024 General Election","03010","TOWN OF CEDAR LAKE - BARRON COUNTY","186","186","144","17"
"2024 General Election","03012","TOWN OF CHETEK - BARRON COUNTY","242","242","191","28"
"2024 General Election","03014","TOWN OF CLINTON - BARRON COUNTY","51","49","17","0"
"2024 General Election","03016","TOWN OF CRYSTAL LAKE - BARRON COUNTY","52","52","42","6"
"2024 General Election","03018","TOWN OF CUMBERLAND - BARRON COUNTY","59","59","46","17"
"2024 General Election","03020","TOWN OF DALLAS - BARRON COUNTY","35","31","12","0"
"2024 General Election","03022","TOWN OF DOVRE - BARRON COUNTY","52","52","31","0"
"2024 General Election","03024","TOWN OF DOYLE - BARRON COUNTY","45","45","29","8"
"2024 General Election","03026","TOWN OF LAKELAND - BARRON COUNTY","97","97","53","17"
"2024 General Election","03028","TOWN OF MAPLE GROVE - BARRON COUNTY","61","61","35","0"
"2024 General Election","03030","TOWN OF MAPLE PLAIN - BARRON COUNTY","104","104","56","19"
"2024 General Election","03032","TOWN OF OAK GROVE - BARRON COUNTY","71","71","63","13"
"2024 General Election","03034","TOWN OF PRAIRIE FARM - BARRON COUNTY","17","17","5","0"
"2024 General Election","03036","TOWN OF PRAIRIE LAKE - BARRON COUNTY","234","233","193","63"
"2024 General Election","03038","TOWN OF RICE LAKE - BARRON COUNTY","441","440","341","209"
