
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,2511,1755,0
ASHLAND COUNTY,2553,2188,2
BARRON COUNTY,5874,4206,1
BAYFIELD COUNTY,3412,2423,0
BROWN COUNTY,52900,50197,2
BUFFALO COUNTY,928,686,3
BURNETT COUNTY,2208,1530,0
CALUMET COUNTY,9158,7264,0
CHIPPEWA COUNTY,9280,6240,1
CLARK COUNTY,1787,1295,1
COLUMBIA COUNTY,9138,8606,2
CRAWFORD COUNTY,1584,1087,2
DANE COUNTY,162898,160419,72
DODGE COUNTY,10495,9927,0
DOOR COUNTY,6714,4662,0
DOUGLAS COUNTY,7450,7372,76
DUNN COUNTY,5484,4071,2
EAU CLAIRE COUNTY,16263,16054,43
FLORENCE COUNTY,850,719,0
FOND DU LAC COUNTY,13447,8991,0
FOREST COUNTY,1251,1024,0
GRANT COUNTY,5048,4043,1
GREEN COUNTY,5490,5370,50
GREEN LAKE COUNTY,2249,1873,2
IOWA COUNTY,4153,3932,2
IRON COUNTY,1048,941,0
JACKSON COUNTY,1676,793,0
JEFFERSON COUNTY,13245,7863,0
JUNEAU COUNTY,2018,1418,0
KENOSHA COUNTY,27181,26775,9
KEWAUNEE COUNTY,2882,2303,7
LA CROSSE COUNTY,22283,22160,0
LAFAYETTE COUNTY,1840,1273,2
LANGLADE COUNTY,1412,836,0
LINCOLN COUNTY,4108,2782,0
MANITOWOC COUNTY,11179,10986,15
MARATHON COUNTY,22533,20482,0
MARINETTE COUNTY,5700,5467,13
MARQUETTE COUNTY,1898,462,0
MENOMINEE COUNTY,354,0,0
MILWAUKEE COUNTY,188417,160675,0
MONROE COUNTY,4713,4612,0
OCONTO COUNTY,5625,4193,18
ONEIDA COUNTY,6730,5338,0
OUTAGAMIE COUNTY,35411,32101,40
OZAUKEE COUNTY,20744,20637,12
PEPIN COUNTY,843,473,0
PIERCE COUNTY,5896,5429,0
POLK COUNTY,5050,3433,3
PORTAGE COUNTY,12531,12172,10
PRICE COUNTY,1907,724,2
RACINE COUNTY,31675,28938,0
RICHLAND COUNTY,2153,91,0
ROCK COUNTY,26380,25729,3
RUSK COUNTY,1606,959,0
ST. CROIX COUNTY,16195,15208,8
SAUK COUNTY,10953,8640,48
SAWYER COUNTY,3074,2296,23
SHAWANO COUNTY,4769,3919,4
SHEBOYGAN COUNTY,17825,17098,1
TAYLOR COUNTY,1950,1269,0
TREMPEALEAU COUNTY,2223,704,3
VERNON COUNTY,3505,1549,0
VILAS COUNTY,4977,3866,4
WALWORTH COUNTY,15378,14811,0
WASHBURN COUNTY,2384,1127,9
WASHINGTON COUNTY,24627,24048,0
WAUKESHA COUNTY,89737,87779,54
WAUPACA COUNTY,6882,5911,2
WAUSHARA COUNTY,2994,1723,0
WINNEBAGO COUNTY,30701,30064,28
WOOD COUNTY,10864,10156,2
TOTAL,1061201,956147,582
