
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,3091,2755,1107
ASHLAND COUNTY,2939,2906,1420
BARRON COUNTY,6883,6694,2584
BAYFIELD COUNTY,4057,3836,1716
BROWN COUNTY,62986,61880,25289
BUFFALO COUNTY,1554,1489,433
BURNETT COUNTY,2609,2368,918
CALUMET COUNTY,11067,10904,3505
CHIPPEWA COUNTY,10755,10574,4025
CLARK COUNTY,2810,2544,867
COLUMBIA COUNTY,10821,10665,4616
CRAWFORD COUNTY,2423,2356,845
DANE COUNTY,188899,187729,92489
DODGE COUNTY,12549,12419,4732
DOOR COUNTY,7816,7661,3231
DOUGLAS COUNTY,8502,8408,4171
DUNN COUNTY,6522,6453,2483
EAU CLAIRE COUNTY,19467,19157,8020
FLORENCE COUNTY,911,859,356
FOND DU LAC COUNTY,17611,16771,6764
FOREST COUNTY,1468,1412,402
GRANT COUNTY,7330,6995,2411
GREEN COUNTY,6580,6457,2860
GREEN LAKE COUNTY,2697,2606,1014
IOWA COUNTY,4899,4852,2066
IRON COUNTY,1532,1493,572
JACKSON COUNTY,2083,2062,584
JEFFERSON COUNTY,15267,14873,4749
JUNEAU COUNTY,3137,2980,870
KENOSHA COUNTY,31749,31449,10509
KEWAUNEE COUNTY,3440,3407,1404
LA CROSSE COUNTY,26254,26089,11387
LAFAYETTE COUNTY,2148,2047,869
LANGLADE COUNTY,2645,2503,859
LINCOLN COUNTY,4626,3534,1315
MANITOWOC COUNTY,13261,13157,6142
MARATHON COUNTY,25797,25327,9944
MARINETTE COUNTY,6646,6568,2825
MARQUETTE COUNTY,2348,2192,916
MENOMINEE COUNTY,392,376,171
MILWAUKEE COUNTY,216201,214866,74440
MONROE COUNTY,5490,5379,1965
OCONTO COUNTY,6818,6636,2571
ONEIDA COUNTY,8906,8676,3376
OUTAGAMIE COUNTY,42193,41761,13243
OZAUKEE COUNTY,24148,24002,9709
PEPIN COUNTY,1095,1027,217
PIERCE COUNTY,7003,6927,2343
POLK COUNTY,6323,6072,2193
PORTAGE COUNTY,14570,14469,6500
PRICE COUNTY,2414,2245,773
RACINE COUNTY,37238,36878,11140
RICHLAND COUNTY,2618,2270,814
ROCK COUNTY,31647,31234,13380
RUSK COUNTY,1808,1731,492
ST. CROIX COUNTY,19303,19140,7213
SAUK COUNTY,12814,12503,5605
SAWYER COUNTY,3527,3403,1493
SHAWANO COUNTY,5711,5461,2335
SHEBOYGAN COUNTY,20757,20500,8701
TAYLOR COUNTY,2426,2284,893
TREMPEALEAU COUNTY,2972,2662,962
VERNON COUNTY,4478,3540,805
VILAS COUNTY,5681,5537,2371
WALWORTH COUNTY,18192,18019,6627
WASHBURN COUNTY,3034,2878,1186
WASHINGTON COUNTY,28896,28383,10430
WAUKESHA COUNTY,105585,104414,38974
WAUPACA COUNTY,7983,7906,3153
WAUSHARA COUNTY,3560,3526,1466
WINNEBAGO COUNTY,36529,36189,14969
WOOD COUNTY,12605,12429,5472
TOTAL,1251096,1231754,487251
