"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2024 General Election","01002","TOWN OF ADAMS - ADAMS COUNTY","97","96","54","0"
"2024 General Election","01004","TOWN OF BIG FLATS - ADAMS COUNTY","49","47","14","0"
"2024 General Election","01006","TOWN OF COLBURN - ADAMS COUNTY","19","17","7","0"
"2024 General Election","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","119","117","51","0"
"2024 General Election","01010","TOWN OF EASTON - ADAMS COUNTY","82","79","39","0"
"2024 General Election","01012","TOWN OF JACKSON - ADAMS COUNTY","122","122","48","0"
"2024 General Election","01014","TOWN OF LEOLA - ADAMS COUNTY","15","14","7","0"
"2024 General Election","01016","TOWN OF LINCOLN - ADAMS COUNTY","28","26","14","0"
"2024 General Election","01018","TOWN OF MONROE - ADAMS COUNTY","36","36","27","0"
"2024 General Election","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","80","80","52","0"
"2024 General Election","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","45","44","20","0"
"2024 General Election","01024","TOWN OF PRESTON - ADAMS COUNTY","119","118","64","0"
"2024 General Election","01026","TOWN OF QUINCY - ADAMS COUNTY","114","114","56","0"
"2024 General Election","01028","TOWN OF RICHFIELD - ADAMS COUNTY","6","6","2","0"
"2024 General Election","01030","TOWN OF ROME - ADAMS COUNTY","383","381","197","0"
"2024 General Election","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","110","110","43","0"
"2024 General Election","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","83","82","38","0"
"2024 General Election","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","45","44","18","0"
"2024 General Election","01201","CITY OF ADAMS - ADAMS COUNTY","80","79","32","0"
"2024 General Election","02002","TOWN OF AGENDA - ASHLAND COUNTY","24","24","12","0"
"2024 General Election","02004","TOWN OF ASHLAND - ASHLAND COUNTY","39","0","0",""
"2024 General Election","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","33","31","14","0"
"2024 General Election","02008","TOWN OF GINGLES - ASHLAND COUNTY","68","68","0","0"
"2024 General Election","02010","TOWN OF GORDON - ASHLAND COUNTY","32","32","13","0"
"2024 General Election","02012","TOWN OF JACOBS - ASHLAND COUNTY","25","23","7","0"
"2024 General Election","02014","TOWN OF LA POINTE - ASHLAND COUNTY","45","45","28","0"
"2024 General Election","02016","TOWN OF MARENGO - ASHLAND COUNTY","24","23","9","0"
"2024 General Election","02018","TOWN OF MORSE - ASHLAND COUNTY","50","50","26","0"
"2024 General Election","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","6","5","3","0"
"2024 General Election","02022","TOWN OF SANBORN - ASHLAND COUNTY","25","25","3","0"
"2024 General Election","02024","TOWN OF SHANAGOLDEN - ASHLAND COUNTY","12","11","2","0"
"2024 General Election","02026","TOWN OF WHITE RIVER - ASHLAND COUNTY","57","57","20","0"
"2024 General Election","02106","VILLAGE OF BUTTERNUT - ASHLAND COUNTY","12","11","3","0"
"2024 General Election","02201","CITY OF ASHLAND - MULTIPLE COUNTIES","648","642","332","0"
"2024 General Election","02251","CITY OF MELLEN - ASHLAND COUNTY","34","34","20","0"
"2024 General Election","03002","TOWN OF ALMENA - BARRON COUNTY","76","73","27","0"
