
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,3358,3172,1654
ASHLAND COUNTY,3142,3113,1869
BARRON COUNTY,7467,7345,3919
BAYFIELD COUNTY,4286,4190,2572
BROWN COUNTY,68896,68127,36754
BUFFALO COUNTY,1691,1632,693
BURNETT COUNTY,2817,2723,1383
CALUMET COUNTY,12203,12027,5958
CHIPPEWA COUNTY,11598,11440,6162
CLARK COUNTY,3143,2920,1393
COLUMBIA COUNTY,11841,11714,6622
CRAWFORD COUNTY,2610,2550,1320
DANE COUNTY,200139,199007,122830
DODGE COUNTY,13757,13644,6977
DOOR COUNTY,8421,8308,4934
DOUGLAS COUNTY,9094,9014,5551
DUNN COUNTY,7121,6968,3650
EAU CLAIRE COUNTY,21109,20946,11689
FLORENCE COUNTY,979,934,529
FOND DU LAC COUNTY,19207,18468,9755
FOREST COUNTY,1546,1494,771
GRANT COUNTY,8115,7966,4036
GREEN COUNTY,7118,7001,4033
GREEN LAKE COUNTY,2922,2838,1505
IOWA COUNTY,5292,5264,3038
IRON COUNTY,1649,1624,893
JACKSON COUNTY,2304,2290,1116
JEFFERSON COUNTY,16602,16278,7758
JUNEAU COUNTY,3428,3314,1608
KENOSHA COUNTY,34764,34602,17651
KEWAUNEE COUNTY,3731,3701,1961
LA CROSSE COUNTY,28573,28451,16206
LAFAYETTE COUNTY,2359,2251,1212
LANGLADE COUNTY,3064,2997,1583
LINCOLN COUNTY,5180,5117,2579
MANITOWOC COUNTY,14593,14481,8218
MARATHON COUNTY,27747,27468,14943
MARINETTE COUNTY,7287,7215,3880
MARQUETTE COUNTY,2542,2410,1390
MENOMINEE COUNTY,429,407,238
MILWAUKEE COUNTY,232587,229769,114679
MONROE COUNTY,5995,5891,2963
OCONTO COUNTY,7433,7282,3811
ONEIDA COUNTY,9817,9600,5272
OUTAGAMIE COUNTY,46190,45689,23305
OZAUKEE COUNTY,26075,25985,13891
PEPIN COUNTY,1177,1112,475
PIERCE COUNTY,7627,7543,3806
POLK COUNTY,7070,6907,3314
PORTAGE COUNTY,15726,15637,9080
PRICE COUNTY,2597,2443,1203
RACINE COUNTY,40288,40059,18687
RICHLAND COUNTY,2863,2580,1234
ROCK COUNTY,34526,34250,19344
RUSK COUNTY,1938,1888,907
ST. CROIX COUNTY,21026,20902,10831
SAUK COUNTY,13873,13603,7790
SAWYER COUNTY,3739,3625,2031
SHAWANO COUNTY,6243,6132,3423
SHEBOYGAN COUNTY,22691,22471,12342
TAYLOR COUNTY,2630,2500,1271
TREMPEALEAU COUNTY,3454,3214,1633
VERNON COUNTY,4820,4276,1525
VILAS COUNTY,6034,5897,3401
WALWORTH COUNTY,19833,19714,9873
WASHBURN COUNTY,3230,3086,1616
WASHINGTON COUNTY,31385,31056,15278
WAUKESHA COUNTY,114545,113631,57556
WAUPACA COUNTY,8654,8613,4628
WAUSHARA COUNTY,3818,3760,1956
WINNEBAGO COUNTY,40065,39913,21548
WOOD COUNTY,13537,13353,7658
TOTAL,1353610,1337792,717164
