
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,3012,2710,909
ASHLAND COUNTY,2907,2872,1314
BARRON COUNTY,6797,6623,2283
BAYFIELD COUNTY,4019,3786,1510
BROWN COUNTY,61835,61077,23816
BUFFALO COUNTY,1468,1383,375
BURNETT COUNTY,2580,2339,809
CALUMET COUNTY,10873,10727,2825
CHIPPEWA COUNTY,10592,10434,3622
CLARK COUNTY,2753,2479,778
COLUMBIA COUNTY,10673,10532,4272
CRAWFORD COUNTY,2384,2308,736
DANE COUNTY,186143,184814,81080
DODGE COUNTY,12311,12160,4210
DOOR COUNTY,7761,7613,3028
DOUGLAS COUNTY,8399,8302,3920
DUNN COUNTY,6461,6377,2174
EAU CLAIRE COUNTY,19078,18863,7391
FLORENCE COUNTY,907,855,320
FOND DU LAC COUNTY,17341,16457,6103
FOREST COUNTY,1463,1409,372
GRANT COUNTY,7259,6940,2301
GREEN COUNTY,6453,6344,2630
GREEN LAKE COUNTY,2672,2586,949
IOWA COUNTY,4821,4780,1853
IRON COUNTY,1528,1485,529
JACKSON COUNTY,2074,2054,561
JEFFERSON COUNTY,15139,14722,4181
JUNEAU COUNTY,2856,2644,739
KENOSHA COUNTY,31330,31098,9778
KEWAUNEE COUNTY,3401,3383,1304
LA CROSSE COUNTY,25952,25785,10628
LAFAYETTE COUNTY,2113,2010,752
LANGLADE COUNTY,2572,2356,839
LINCOLN COUNTY,4585,3496,1188
MANITOWOC COUNTY,13035,12930,5645
MARATHON COUNTY,25504,25092,8963
MARINETTE COUNTY,6558,6473,2547
MARQUETTE COUNTY,2355,2161,793
MENOMINEE COUNTY,391,375,155
MILWAUKEE COUNTY,211371,209986,63000
MONROE COUNTY,5446,5339,1878
OCONTO COUNTY,6709,6535,2427
ONEIDA COUNTY,8720,8443,3110
OUTAGAMIE COUNTY,41601,41372,12000
OZAUKEE COUNTY,23921,23787,9072
PEPIN COUNTY,1094,1026,202
PIERCE COUNTY,6924,6854,2139
POLK COUNTY,6209,5955,1677
PORTAGE COUNTY,14424,14350,6060
PRICE COUNTY,2380,2208,650
RACINE COUNTY,36527,36293,10299
RICHLAND COUNTY,2585,2240,731
ROCK COUNTY,31077,30805,12233
RUSK COUNTY,1794,1718,446
ST. CROIX COUNTY,19021,18843,6667
SAUK COUNTY,12696,12393,5226
SAWYER COUNTY,3484,3354,1361
SHAWANO COUNTY,5579,5330,1940
SHEBOYGAN COUNTY,20529,20350,8073
TAYLOR COUNTY,2350,2081,773
TREMPEALEAU COUNTY,2888,2543,811
VERNON COUNTY,4304,3217,514
VILAS COUNTY,5607,5447,2058
WALWORTH COUNTY,17870,17737,6067
WASHBURN COUNTY,2981,2822,1083
WASHINGTON COUNTY,28499,27973,9585
WAUKESHA COUNTY,104125,103281,36182
WAUPACA COUNTY,7882,7820,2917
WAUSHARA COUNTY,3500,3456,1278
WINNEBAGO COUNTY,36067,35758,13856
WOOD COUNTY,12392,12208,5038
TOTAL,1230911,1212358,437535
