
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,2988,2692,812
ASHLAND COUNTY,2874,2841,1207
BARRON COUNTY,6708,6522,1983
BAYFIELD COUNTY,3983,3755,1348
BROWN COUNTY,61077,60080,21538
BUFFALO COUNTY,1436,1341,336
BURNETT COUNTY,2561,2325,757
CALUMET COUNTY,10737,10490,2511
CHIPPEWA COUNTY,10470,10303,3280
CLARK COUNTY,2741,2469,738
COLUMBIA COUNTY,10550,10371,3883
CRAWFORD COUNTY,2323,2247,681
DANE COUNTY,184572,182983,75415
DODGE COUNTY,12162,12031,3801
DOOR COUNTY,7654,7489,2788
DOUGLAS COUNTY,8337,8239,3708
DUNN COUNTY,6378,6312,2058
EAU CLAIRE COUNTY,18844,18572,6669
FLORENCE COUNTY,905,853,295
FOND DU LAC COUNTY,17108,16235,5455
FOREST COUNTY,1449,1387,322
GRANT COUNTY,7218,6902,2202
GREEN COUNTY,6381,6280,2453
GREEN LAKE COUNTY,2654,2566,898
IOWA COUNTY,4768,4721,1675
IRON COUNTY,1509,1464,418
JACKSON COUNTY,2034,2017,473
JEFFERSON COUNTY,14936,14511,3639
JUNEAU COUNTY,2824,2601,686
KENOSHA COUNTY,31024,30837,8881
KEWAUNEE COUNTY,3348,3318,1167
LA CROSSE COUNTY,25674,25527,9906
LAFAYETTE COUNTY,2102,1994,721
LANGLADE COUNTY,2322,2035,723
LINCOLN COUNTY,4517,3464,1033
MANITOWOC COUNTY,12901,12756,5283
MARATHON COUNTY,25185,24689,8170
MARINETTE COUNTY,6490,6410,2115
MARQUETTE COUNTY,2308,2122,732
MENOMINEE COUNTY,390,374,145
MILWAUKEE COUNTY,208889,207900,53637
MONROE COUNTY,5367,5254,1660
OCONTO COUNTY,6654,6480,2298
ONEIDA COUNTY,8609,8326,2621
OUTAGAMIE COUNTY,41118,40666,10806
OZAUKEE COUNTY,23711,23575,8398
PEPIN COUNTY,1065,990,148
PIERCE COUNTY,6843,6762,1902
POLK COUNTY,6141,5892,1503
PORTAGE COUNTY,14302,14211,5367
PRICE COUNTY,2369,2196,578
RACINE COUNTY,36121,35867,8781
RICHLAND COUNTY,2546,2181,599
ROCK COUNTY,30676,30522,11409
RUSK COUNTY,1768,1691,367
ST. CROIX COUNTY,18731,18587,5899
SAUK COUNTY,12557,12257,4898
SAWYER COUNTY,3452,3323,1175
SHAWANO COUNTY,5438,5151,1627
SHEBOYGAN COUNTY,20316,20128,7509
TAYLOR COUNTY,2330,2062,692
TREMPEALEAU COUNTY,2859,2455,676
VERNON COUNTY,4171,2899,442
VILAS COUNTY,5555,5397,1897
WALWORTH COUNTY,17658,17542,5645
WASHBURN COUNTY,2946,2780,982
WASHINGTON COUNTY,28185,27676,8722
WAUKESHA COUNTY,103073,102263,32830
WAUPACA COUNTY,7810,7754,2723
WAUSHARA COUNTY,3470,3425,1133
WINNEBAGO COUNTY,35647,35365,12731
WOOD COUNTY,12282,12129,4522
TOTAL,1217101,1197831,395082
