
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,2752,2286,482
ASHLAND COUNTY,2738,2680,737
BARRON COUNTY,6395,6124,1036
BAYFIELD COUNTY,3783,3562,553
BROWN COUNTY,58059,57080,13405
BUFFALO COUNTY,1308,1192,225
BURNETT COUNTY,2425,2103,320
CALUMET COUNTY,10150,9999,1275
CHIPPEWA COUNTY,10025,9801,1710
CLARK COUNTY,2475,2154,435
COLUMBIA COUNTY,10030,9822,2174
CRAWFORD COUNTY,2243,2169,386
DANE COUNTY,176611,175594,40721
DODGE COUNTY,11470,11356,1911
DOOR COUNTY,7300,7157,1686
DOUGLAS COUNTY,8010,7915,2598
DUNN COUNTY,6047,5981,1168
EAU CLAIRE COUNTY,17797,17598,4212
FLORENCE COUNTY,881,748,194
FOND DU LAC COUNTY,15890,14495,2114
FOREST COUNTY,1376,1324,135
GRANT COUNTY,6565,6064,1297
GREEN COUNTY,6043,5949,1565
GREEN LAKE COUNTY,2531,2407,568
IOWA COUNTY,4588,4555,891
IRON COUNTY,1368,1323,165
JACKSON COUNTY,1918,1903,215
JEFFERSON COUNTY,14147,12675,1043
JUNEAU COUNTY,2632,2374,330
KENOSHA COUNTY,29464,29300,4971
KEWAUNEE COUNTY,3182,3164,677
LA CROSSE COUNTY,24365,24261,6446
LAFAYETTE COUNTY,1990,1878,346
LANGLADE COUNTY,1913,1587,342
LINCOLN COUNTY,4323,3267,349
MANITOWOC COUNTY,12211,12091,3309
MARATHON COUNTY,24159,23524,4519
MARINETTE COUNTY,6158,6069,1358
MARQUETTE COUNTY,2176,1764,396
MENOMINEE COUNTY,373,358,102
MILWAUKEE COUNTY,201459,198419,20006
MONROE COUNTY,5117,5015,979
OCONTO COUNTY,6304,5658,1297
ONEIDA COUNTY,8002,7658,1101
OUTAGAMIE COUNTY,38851,38529,5979
OZAUKEE COUNTY,22583,22479,5285
PEPIN COUNTY,1012,928,65
PIERCE COUNTY,6469,6411,933
POLK COUNTY,5810,5473,827
PORTAGE COUNTY,13631,13515,3231
PRICE COUNTY,2195,1822,100
RACINE COUNTY,34345,34064,3729
RICHLAND COUNTY,2407,1883,275
ROCK COUNTY,28974,28729,6527
RUSK COUNTY,1737,1570,138
ST. CROIX COUNTY,17756,17591,3504
SAUK COUNTY,12045,11704,3156
SAWYER COUNTY,3282,2904,631
SHAWANO COUNTY,5180,4883,973
SHEBOYGAN COUNTY,19300,19115,4475
TAYLOR COUNTY,2220,1876,390
TREMPEALEAU COUNTY,2663,2246,380
VERNON COUNTY,3963,2417,278
VILAS COUNTY,5341,5188,1089
WALWORTH COUNTY,16783,16313,2916
WASHBURN COUNTY,2816,2639,590
WASHINGTON COUNTY,26749,26290,5029
WAUKESHA COUNTY,97946,97149,20106
WAUPACA COUNTY,7415,7315,1528
WAUSHARA COUNTY,3296,3227,570
WINNEBAGO COUNTY,33716,33410,8036
WOOD COUNTY,11681,11460,2572
TOTAL,1158919,1133533,213061
