"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2020 General Election","01002","TOWN OF ADAMS - ADAMS COUNTY","230","230","185","0"
"2020 General Election","01004","TOWN OF BIG FLATS - ADAMS COUNTY","124","124","74","0"
"2020 General Election","01006","TOWN OF COLBURN - ADAMS COUNTY","51","49","37","0"
"2020 General Election","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","376","371","289","74"
"2020 General Election","01010","TOWN OF EASTON - ADAMS COUNTY","142","141","106","19"
"2020 General Election","01012","TOWN OF JACKSON - ADAMS COUNTY","243","230","148","0"
"2020 General Election","01014","TOWN OF LEOLA - ADAMS COUNTY","23","19","9","3"
"2020 General Election","01016","TOWN OF LINCOLN - ADAMS COUNTY","58","58","33","0"
"2020 General Election","01018","TOWN OF MONROE - ADAMS COUNTY","105","104","82","5"
"2020 General Election","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","149","149","111","0"
"2020 General Election","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","114","114","83","0"
"2020 General Election","01024","TOWN OF PRESTON - ADAMS COUNTY","220","220","116","5"
"2020 General Election","01026","TOWN OF QUINCY - ADAMS COUNTY","280","279","219","48"
"2020 General Election","01028","TOWN OF RICHFIELD - ADAMS COUNTY","15","15","0","0"
"2020 General Election","01030","TOWN OF ROME - ADAMS COUNTY","1233","1230","1027","262"
"2020 General Election","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","254","254","178","0"
"2020 General Election","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","219","178","127","33"
"2020 General Election","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","102","102","64","19"
"2020 General Election","01201","CITY OF ADAMS - ADAMS COUNTY","243","242","181","51"
"2020 General Election","02002","TOWN OF AGENDA - ASHLAND COUNTY","66","63","55","0"
"2020 General Election","02004","TOWN OF ASHLAND - ASHLAND COUNTY","94","93","67","0"
"2020 General Election","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","55","55","46","3"
"2020 General Election","02008","TOWN OF GINGLES - ASHLAND COUNTY","175","175","144","0"
"2020 General Election","02010","TOWN OF GORDON - ASHLAND COUNTY","43","43","32","1"
"2020 General Election","02012","TOWN OF JACOBS - ASHLAND COUNTY","92","91","64","0"
"2020 General Election","02014","TOWN OF LA POINTE - ASHLAND COUNTY","144","143","122","33"
"2020 General Election","02016","TOWN OF MARENGO - ASHLAND COUNTY","64","63","47","0"
"2020 General Election","02018","TOWN OF MORSE - ASHLAND COUNTY","131","129","107","0"
"2020 General Election","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","30","28","19","0"
"2020 General Election","02022","TOWN OF SANBORN - ASHLAND COUNTY","107","106","71","0"
"2020 General Election","02024","TOWN OF SHANAGOLDEN - ASHLAND COUNTY","22","22","20","0"
"2020 General Election","02026","TOWN OF WHITE RIVER - ASHLAND COUNTY","124","122","82","13"
"2020 General Election","02106","VILLAGE OF BUTTERNUT - ASHLAND COUNTY","55","55","44","6"
"2020 General Election","02201","CITY OF ASHLAND - MULTIPLE COUNTIES","2220","2215","1779","170"
"2020 General Election","02251","CITY OF MELLEN - ASHLAND COUNTY","114","112","95","0"
"2020 General Election","03002","TOWN OF ALMENA - BARRON COUNTY","174","170","132","34"
"2020 General Election","03004","TOWN OF ARLAND - BARRON COUNTY","100","100","64","1"
"2020 General Election","03006","TOWN OF BARRON - BARRON COUNTY","114","112","57","8"
"2020 General Election","03008","TOWN OF BEAR LAKE - BARRON COUNTY","145","145","95","10"
"2020 General Election","03010","TOWN OF CEDAR LAKE - BARRON COUNTY","317","308","233","11"
"2020 General Election","03012","TOWN OF CHETEK - BARRON COUNTY","467","464","374","86"
"2020 General Election","03014","TOWN OF CLINTON - BARRON COUNTY","96","89","72","0"
"2020 General Election","03016","TOWN OF CRYSTAL LAKE - BARRON COUNTY","99","99","62","9"
"2020 General Election","03018","TOWN OF CUMBERLAND - BARRON COUNTY","132","132","95","9"
"2020 General Election","03020","TOWN OF DALLAS - BARRON COUNTY","86","85","57","6"
"2020 General Election","03022","TOWN OF DOVRE - BARRON COUNTY","114","114","80","8"
"2020 General Election","03024","TOWN OF DOYLE - BARRON COUNTY","90","90","48","5"
