
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,2753,2286,486
ASHLAND COUNTY,2745,2689,764
BARRON COUNTY,6400,6127,1078
BAYFIELD COUNTY,3793,3574,642
BROWN COUNTY,58137,57087,13506
BUFFALO COUNTY,1310,1192,225
BURNETT COUNTY,2432,2108,347
CALUMET COUNTY,10173,9999,1275
CHIPPEWA COUNTY,10087,9814,1791
CLARK COUNTY,2477,2156,437
COLUMBIA COUNTY,10051,9828,2215
CRAWFORD COUNTY,2244,2170,386
DANE COUNTY,177510,175610,41102
DODGE COUNTY,11508,11384,1980
DOOR COUNTY,7319,7164,1686
DOUGLAS COUNTY,8017,7915,2598
DUNN COUNTY,6057,5981,1178
EAU CLAIRE COUNTY,17857,17600,4212
FLORENCE COUNTY,884,831,207
FOND DU LAC COUNTY,15909,14496,2114
FOREST COUNTY,1378,1324,135
GRANT COUNTY,6579,6068,1302
GREEN COUNTY,6059,5951,1574
GREEN LAKE COUNTY,2536,2413,587
IOWA COUNTY,4594,4557,949
IRON COUNTY,1369,1323,165
JACKSON COUNTY,1923,1903,215
JEFFERSON COUNTY,14160,12678,1043
JUNEAU COUNTY,2636,2374,330
KENOSHA COUNTY,29507,29302,5033
KEWAUNEE COUNTY,3186,3164,677
LA CROSSE COUNTY,24397,24265,6451
LAFAYETTE COUNTY,1990,1878,346
LANGLADE COUNTY,1918,1587,342
LINCOLN COUNTY,4333,3279,372
MANITOWOC COUNTY,12244,12126,3428
MARATHON COUNTY,24200,23545,4638
MARINETTE COUNTY,6170,6069,1382
MARQUETTE COUNTY,2176,1764,396
MENOMINEE COUNTY,373,358,102
MILWAUKEE COUNTY,201891,199922,24039
MONROE COUNTY,5122,5015,979
OCONTO COUNTY,6320,5667,1340
ONEIDA COUNTY,8011,7658,1101
OUTAGAMIE COUNTY,38916,38545,6069
OZAUKEE COUNTY,22618,22482,5285
PEPIN COUNTY,1017,928,65
PIERCE COUNTY,6477,6415,950
POLK COUNTY,5833,5490,928
PORTAGE COUNTY,13658,13531,3290
PRICE COUNTY,2196,1823,108
RACINE COUNTY,34392,34154,3729
RICHLAND COUNTY,2413,1885,288
ROCK COUNTY,29047,28771,7597
RUSK COUNTY,1737,1570,138
ST. CROIX COUNTY,17839,17624,3617
SAUK COUNTY,12074,11706,3183
SAWYER COUNTY,3290,2908,677
SHAWANO COUNTY,5188,4885,987
SHEBOYGAN COUNTY,19324,19126,4507
TAYLOR COUNTY,2222,1878,405
TREMPEALEAU COUNTY,2670,2252,423
VERNON COUNTY,4107,2851,282
VILAS COUNTY,5348,5191,1122
WALWORTH COUNTY,16818,16318,3327
WASHBURN COUNTY,2821,2640,604
WASHINGTON COUNTY,26794,26302,5151
WAUKESHA COUNTY,98202,97161,20106
WAUPACA COUNTY,7432,7329,1568
WAUSHARA COUNTY,3301,3229,589
WINNEBAGO COUNTY,33784,33413,8056
WOOD COUNTY,11704,11469,2617
TOTAL,1161957,1136077,220823
