
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,2918,2583,748
ASHLAND COUNTY,2842,2802,1125
BARRON COUNTY,6627,6427,1800
BAYFIELD COUNTY,3943,3707,1098
BROWN COUNTY,60265,59127,19502
BUFFALO COUNTY,1420,1327,326
BURNETT COUNTY,2534,2294,698
CALUMET COUNTY,10556,10317,2311
CHIPPEWA COUNTY,10379,10115,2845
CLARK COUNTY,2713,2440,672
COLUMBIA COUNTY,10422,10221,3439
CRAWFORD COUNTY,2305,2222,596
DANE COUNTY,182725,180914,68953
DODGE COUNTY,11994,11850,3187
DOOR COUNTY,7480,7309,2297
DOUGLAS COUNTY,8240,8127,3435
DUNN COUNTY,6261,6120,1864
EAU CLAIRE COUNTY,18540,18263,5979
FLORENCE COUNTY,900,847,274
FOND DU LAC COUNTY,16720,15683,4510
FOREST COUNTY,1426,1372,255
GRANT COUNTY,7011,6660,1929
GREEN COUNTY,6286,6179,2225
GREEN LAKE COUNTY,2612,2519,800
IOWA COUNTY,4722,4675,1584
IRON COUNTY,1500,1455,376
JACKSON COUNTY,2003,1984,423
JEFFERSON COUNTY,14732,14165,2825
JUNEAU COUNTY,2789,2574,635
KENOSHA COUNTY,30603,30331,7956
KEWAUNEE COUNTY,3292,3256,1075
LA CROSSE COUNTY,25343,25171,9097
LAFAYETTE COUNTY,2080,1966,675
LANGLADE COUNTY,2208,1945,631
LINCOLN COUNTY,4457,3413,816
MANITOWOC COUNTY,12685,12570,4705
MARATHON COUNTY,24928,24435,7067
MARINETTE COUNTY,6404,6294,1929
MARQUETTE COUNTY,2283,2054,589
MENOMINEE COUNTY,379,364,143
MILWAUKEE COUNTY,206994,205525,44216
MONROE COUNTY,5297,5179,1483
OCONTO COUNTY,6500,6293,1870
ONEIDA COUNTY,8510,8224,2311
OUTAGAMIE COUNTY,40410,39888,9711
OZAUKEE COUNTY,23386,23248,7486
PEPIN COUNTY,1045,974,109
PIERCE COUNTY,6745,6674,1704
POLK COUNTY,6028,5712,1302
PORTAGE COUNTY,14120,14017,4877
PRICE COUNTY,2335,2153,465
RACINE COUNTY,35598,35287,7367
RICHLAND COUNTY,2502,2086,528
ROCK COUNTY,30381,29949,10423
RUSK COUNTY,1762,1682,293
ST. CROIX COUNTY,18501,18374,5542
SAUK COUNTY,12416,12091,4507
SAWYER COUNTY,3426,3295,1123
SHAWANO COUNTY,5324,5008,1368
SHEBOYGAN COUNTY,20059,19871,6683
TAYLOR COUNTY,2302,1963,599
TREMPEALEAU COUNTY,2831,2430,626
VERNON COUNTY,4151,2878,426
VILAS COUNTY,5494,5332,1713
WALWORTH COUNTY,17477,17315,5115
WASHBURN COUNTY,2898,2718,901
WASHINGTON COUNTY,27835,27313,7776
WAUKESHA COUNTY,101636,100545,29092
WAUPACA COUNTY,7713,7655,2452
WAUSHARA COUNTY,3406,3350,982
WINNEBAGO COUNTY,35081,34662,11517
WOOD COUNTY,12126,11917,4059
TOTAL,1201816,1179685,350020
