
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,2473,1424,0
ASHLAND COUNTY,2523,2077,0
BARRON COUNTY,5799,3489,0
BAYFIELD COUNTY,3315,2006,0
BROWN COUNTY,52411,47292,2
BUFFALO COUNTY,851,336,0
BURNETT COUNTY,2170,1373,0
CALUMET COUNTY,9056,6361,0
CHIPPEWA COUNTY,9106,4402,0
CLARK COUNTY,1571,1008,0
COLUMBIA COUNTY,9013,7479,0
CRAWFORD COUNTY,1504,988,0
DANE COUNTY,161526,154468,25
DODGE COUNTY,10400,8650,0
DOOR COUNTY,6677,3892,0
DOUGLAS COUNTY,7393,7321,3
DUNN COUNTY,5399,3456,0
EAU CLAIRE COUNTY,16122,15926,0
FLORENCE COUNTY,849,664,0
FOND DU LAC COUNTY,12843,7868,0
FOREST COUNTY,1168,896,0
GRANT COUNTY,4897,3532,0
GREEN COUNTY,5452,4718,0
GREEN LAKE COUNTY,2231,1533,0
IOWA COUNTY,4112,3743,0
IRON COUNTY,954,701,0
JACKSON COUNTY,1653,105,0
JEFFERSON COUNTY,13164,7042,0
JUNEAU COUNTY,1920,1241,0
KENOSHA COUNTY,26967,26448,1
KEWAUNEE COUNTY,2673,1112,2
LA CROSSE COUNTY,22108,21948,0
LAFAYETTE COUNTY,1772,725,0
LANGLADE COUNTY,1400,818,0
LINCOLN COUNTY,4063,2185,0
MANITOWOC COUNTY,11067,10765,0
MARATHON COUNTY,22376,16202,0
MARINETTE COUNTY,5643,5123,2
MARQUETTE COUNTY,1823,0,0
MENOMINEE COUNTY,350,0,0
MILWAUKEE COUNTY,187005,158347,0
MONROE COUNTY,4643,4519,0
OCONTO COUNTY,5594,3666,3
ONEIDA COUNTY,6706,5186,0
OUTAGAMIE COUNTY,34999,26462,0
OZAUKEE COUNTY,20591,19357,0
PEPIN COUNTY,801,218,0
PIERCE COUNTY,5795,3071,0
POLK COUNTY,4796,2024,2
PORTAGE COUNTY,12396,11970,3
PRICE COUNTY,1892,549,0
RACINE COUNTY,31519,28746,0
RICHLAND COUNTY,2140,0,0
ROCK COUNTY,26177,25371,0
RUSK COUNTY,1542,661,0
ST. CROIX COUNTY,16053,14215,1
SAUK COUNTY,10836,7590,69
SAWYER COUNTY,2890,1331,17
SHAWANO COUNTY,4701,3283,0
SHEBOYGAN COUNTY,17681,14313,0
TAYLOR COUNTY,1945,1160,0
TREMPEALEAU COUNTY,2174,362,0
VERNON COUNTY,3488,1547,0
VILAS COUNTY,4875,3087,0
WALWORTH COUNTY,15123,13978,0
WASHBURN COUNTY,2314,359,0
WASHINGTON COUNTY,24483,22741,0
WAUKESHA COUNTY,88860,84240,1
WAUPACA COUNTY,6807,5549,0
WAUSHARA COUNTY,2958,1274,0
WINNEBAGO COUNTY,30400,29686,1
WOOD COUNTY,10753,9448,0
TOTAL,1049731,893627,132
