
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,3507,3369,1875
ASHLAND COUNTY,3213,3189,2068
BARRON COUNTY,7694,7596,4456
BAYFIELD COUNTY,4366,4273,2859
BROWN COUNTY,71158,70659,42246
BUFFALO COUNTY,1809,1766,881
BURNETT COUNTY,2986,2924,1588
CALUMET COUNTY,12708,12623,6936
CHIPPEWA COUNTY,11963,11814,7036
CLARK COUNTY,3372,3234,1655
COLUMBIA COUNTY,12206,12110,7531
CRAWFORD COUNTY,2715,2657,1507
DANE COUNTY,204451,203884,135098
DODGE COUNTY,14204,14138,8118
DOOR COUNTY,8638,8539,5524
DOUGLAS COUNTY,9348,9283,6088
DUNN COUNTY,7308,7241,4121
EAU CLAIRE COUNTY,21783,21631,13151
FLORENCE COUNTY,1016,965,606
FOND DU LAC COUNTY,19923,19342,11385
FOREST COUNTY,1580,1529,846
GRANT COUNTY,8433,8326,4739
GREEN COUNTY,7362,7323,4538
GREEN LAKE COUNTY,3002,2927,1740
IOWA COUNTY,5444,5404,3332
IRON COUNTY,1677,1660,1006
JACKSON COUNTY,2357,2353,1298
JEFFERSON COUNTY,17105,16903,9378
JUNEAU COUNTY,3597,3465,1806
KENOSHA COUNTY,35919,35828,20442
KEWAUNEE COUNTY,3868,3843,2215
LA CROSSE COUNTY,29373,29254,18275
LAFAYETTE COUNTY,2430,2359,1345
LANGLADE COUNTY,3157,3099,1780
LINCOLN COUNTY,5304,5257,3098
MANITOWOC COUNTY,15081,15037,9447
MARATHON COUNTY,28492,28325,17177
MARINETTE COUNTY,7538,7474,4469
MARQUETTE COUNTY,2622,2504,1574
MENOMINEE COUNTY,449,423,267
MILWAUKEE COUNTY,239641,238923,132701
MONROE COUNTY,6199,6135,3398
OCONTO COUNTY,7697,7550,4345
ONEIDA COUNTY,10174,10043,6247
OUTAGAMIE COUNTY,47814,47639,27615
OZAUKEE COUNTY,26736,26677,15984
PEPIN COUNTY,1195,1135,534
PIERCE COUNTY,7842,7796,4368
POLK COUNTY,7426,7192,3878
PORTAGE COUNTY,16171,16108,10195
PRICE COUNTY,2642,2497,1405
RACINE COUNTY,42132,41943,22372
RICHLAND COUNTY,2939,2682,1483
ROCK COUNTY,35616,35448,21567
RUSK COUNTY,1999,1950,1054
ST. CROIX COUNTY,21709,21615,12408
SAUK COUNTY,14317,14080,8728
SAWYER COUNTY,3830,3730,2320
SHAWANO COUNTY,6478,6428,3903
SHEBOYGAN COUNTY,23619,23452,14185
TAYLOR COUNTY,2726,2610,1484
TREMPEALEAU COUNTY,3660,3435,1975
VERNON COUNTY,4903,4522,1758
VILAS COUNTY,6184,6057,3835
WALWORTH COUNTY,20426,20334,11499
WASHBURN COUNTY,3262,3147,1769
WASHINGTON COUNTY,32333,32031,18176
WAUKESHA COUNTY,118299,117668,67542
WAUPACA COUNTY,8911,8878,5243
WAUSHARA COUNTY,3909,3865,2179
WINNEBAGO COUNTY,41404,41241,24871
WOOD COUNTY,13921,13808,8778
TOTAL,1395272,1385149,821300
