
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,2538,2022,2
ASHLAND COUNTY,2585,2344,10
BARRON COUNTY,5973,5208,1
BAYFIELD COUNTY,3493,2950,1
BROWN COUNTY,53953,52146,55
BUFFALO COUNTY,1079,922,3
BURNETT COUNTY,2254,1660,1
CALUMET COUNTY,9396,8480,2
CHIPPEWA COUNTY,9423,8685,13
CLARK COUNTY,2027,1565,5
COLUMBIA COUNTY,9297,8867,8
CRAWFORD COUNTY,1957,1824,2
DANE COUNTY,166225,162773,933
DODGE COUNTY,10629,10448,18
DOOR COUNTY,6835,6054,0
DOUGLAS COUNTY,7555,7455,448
DUNN COUNTY,5611,5351,7
EAU CLAIRE COUNTY,16522,16188,65
FLORENCE COUNTY,857,726,4
FOND DU LAC COUNTY,13971,10954,15
FOREST COUNTY,1267,1035,0
GRANT COUNTY,5269,4449,25
GREEN COUNTY,5566,5428,97
GREEN LAKE COUNTY,2269,2013,6
IOWA COUNTY,4265,4171,9
IRON COUNTY,1054,944,0
JACKSON COUNTY,1737,1142,10
JEFFERSON COUNTY,13476,8572,1
JUNEAU COUNTY,2220,1716,12
KENOSHA COUNTY,27679,27250,46
KEWAUNEE COUNTY,3003,2830,21
LA CROSSE COUNTY,22575,22343,12
LAFAYETTE COUNTY,1878,1589,2
LANGLADE COUNTY,1436,857,0
LINCOLN COUNTY,4134,3024,0
MANITOWOC COUNTY,11391,11223,142
MARATHON COUNTY,22878,21169,25
MARINETTE COUNTY,5811,5602,53
MARQUETTE COUNTY,1973,1114,0
MENOMINEE COUNTY,357,0,0
MILWAUKEE COUNTY,190481,168698,45
MONROE COUNTY,4773,4659,6
OCONTO COUNTY,5755,4734,38
ONEIDA COUNTY,6801,5788,3
OUTAGAMIE COUNTY,35961,35165,161
OZAUKEE COUNTY,21083,20855,63
PEPIN COUNTY,854,480,0
PIERCE COUNTY,5959,5868,9
POLK COUNTY,5352,4149,11
PORTAGE COUNTY,12661,12523,56
PRICE COUNTY,1960,840,2
RACINE COUNTY,32037,31129,2
RICHLAND COUNTY,2185,900,0
ROCK COUNTY,26828,26224,52
RUSK COUNTY,1612,959,0
ST. CROIX COUNTY,16514,15647,19
SAUK COUNTY,11244,10003,115
SAWYER COUNTY,3093,2620,27
SHAWANO COUNTY,4854,4156,10
SHEBOYGAN COUNTY,18014,17481,4
TAYLOR COUNTY,2006,1417,6
TREMPEALEAU COUNTY,2283,1603,8
VERNON COUNTY,3627,1841,0
VILAS COUNTY,5085,4414,15
WALWORTH COUNTY,15618,15036,22
WASHBURN COUNTY,2636,1970,18
WASHINGTON COUNTY,25015,24309,2
WAUKESHA COUNTY,91151,89352,288
WAUPACA COUNTY,6977,6451,9
WAUSHARA COUNTY,3096,2459,1
WINNEBAGO COUNTY,31145,30466,332
WOOD COUNTY,10993,10532,19
TOTAL,1080071,1005821,3397
