
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,2706,2242,277
ASHLAND COUNTY,2675,2555,493
BARRON COUNTY,6289,6020,496
BAYFIELD COUNTY,3704,3412,336
BROWN COUNTY,56633,55447,7880
BUFFALO COUNTY,1199,1080,64
BURNETT COUNTY,2358,1977,109
CALUMET COUNTY,9986,9607,614
CHIPPEWA COUNTY,9808,9438,896
CLARK COUNTY,2307,1926,215
COLUMBIA COUNTY,9817,9565,970
CRAWFORD COUNTY,2183,2107,179
DANE COUNTY,173461,171556,25175
DODGE COUNTY,11154,11014,1112
DOOR COUNTY,7133,6977,874
DOUGLAS COUNTY,7872,7773,1978
DUNN COUNTY,5894,5800,532
EAU CLAIRE COUNTY,17408,17181,2409
FLORENCE COUNTY,872,739,140
FOND DU LAC COUNTY,15157,12904,1444
FOREST COUNTY,1318,1153,22
GRANT COUNTY,5985,5377,588
GREEN COUNTY,5903,5782,900
GREEN LAKE COUNTY,2416,2269,354
IOWA COUNTY,4498,4444,482
IRON COUNTY,1354,1296,62
JACKSON COUNTY,1880,1819,91
JEFFERSON COUNTY,13889,12182,148
JUNEAU COUNTY,2526,2225,89
KENOSHA COUNTY,28838,28682,2290
KEWAUNEE COUNTY,3141,3115,383
LA CROSSE COUNTY,23810,23671,3990
LAFAYETTE COUNTY,1976,1862,260
LANGLADE COUNTY,1487,899,170
LINCOLN COUNTY,4262,3217,67
MANITOWOC COUNTY,11932,11815,2189
MARATHON COUNTY,23725,22913,2678
MARINETTE COUNTY,6020,5922,742
MARQUETTE COUNTY,2129,1710,189
MENOMINEE COUNTY,369,353,50
MILWAUKEE COUNTY,197805,192068,10831
MONROE COUNTY,4998,4899,539
OCONTO COUNTY,6104,5332,705
ONEIDA COUNTY,7502,6946,376
OUTAGAMIE COUNTY,37970,37411,3415
OZAUKEE COUNTY,22157,22007,3342
PEPIN COUNTY,969,810,42
PIERCE COUNTY,6345,6269,599
POLK COUNTY,5657,5188,435
PORTAGE COUNTY,13305,13171,2091
PRICE COUNTY,2064,1280,38
RACINE COUNTY,33553,32709,1741
RICHLAND COUNTY,2335,1496,147
ROCK COUNTY,28456,27974,4207
RUSK COUNTY,1727,1408,5
ST. CROIX COUNTY,17426,17244,1760
SAUK COUNTY,11814,11383,1605
SAWYER COUNTY,3216,2831,337
SHAWANO COUNTY,5106,4809,673
SHEBOYGAN COUNTY,18929,18695,2549
TAYLOR COUNTY,2128,1716,235
TREMPEALEAU COUNTY,2584,2139,222
VERNON COUNTY,3811,2147,164
VILAS COUNTY,5291,5135,785
WALWORTH COUNTY,16426,15941,1618
WASHBURN COUNTY,2777,2595,349
WASHINGTON COUNTY,26238,25754,2709
WAUKESHA COUNTY,96011,94925,11898
WAUPACA COUNTY,7266,7164,857
WAUSHARA COUNTY,3248,3174,189
WINNEBAGO COUNTY,32873,32530,5076
WOOD COUNTY,11435,10979,1280
TOTAL,1133600,1098155,122756
