
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,3274,3090,1503
ASHLAND COUNTY,3069,3041,1760
BARRON COUNTY,7221,7117,3468
BAYFIELD COUNTY,4198,4044,2294
BROWN COUNTY,66372,65735,33365
BUFFALO COUNTY,1656,1603,630
BURNETT COUNTY,2732,2486,1195
CALUMET COUNTY,11668,11499,5261
CHIPPEWA COUNTY,11285,11117,5530
CLARK COUNTY,3071,2845,1284
COLUMBIA COUNTY,11482,11355,5966
CRAWFORD COUNTY,2526,2462,1101
DANE COUNTY,196081,195017,112815
DODGE COUNTY,13316,13213,6137
DOOR COUNTY,8216,8116,4394
DOUGLAS COUNTY,8892,8815,5106
DUNN COUNTY,6866,6801,3261
EAU CLAIRE COUNTY,20489,20322,10556
FLORENCE COUNTY,958,882,469
FOND DU LAC COUNTY,18616,17829,8786
FOREST COUNTY,1507,1458,689
GRANT COUNTY,7794,7576,3578
GREEN COUNTY,6956,6855,3716
GREEN LAKE COUNTY,2841,2757,1324
IOWA COUNTY,5153,5110,2690
IRON COUNTY,1619,1593,813
JACKSON COUNTY,2214,2203,967
JEFFERSON COUNTY,16047,15712,6813
JUNEAU COUNTY,3367,3249,1403
KENOSHA COUNTY,33749,33550,15516
KEWAUNEE COUNTY,3620,3602,1779
LA CROSSE COUNTY,27714,27587,14816
LAFAYETTE COUNTY,2251,2143,1061
LANGLADE COUNTY,2852,2762,1341
LINCOLN COUNTY,4959,4668,2102
MANITOWOC COUNTY,14074,13998,7539
MARATHON COUNTY,27040,26772,13543
MARINETTE COUNTY,7020,6941,3569
MARQUETTE COUNTY,2465,2329,1222
MENOMINEE COUNTY,415,397,228
MILWAUKEE COUNTY,226262,225118,101581
MONROE COUNTY,5787,5700,2695
OCONTO COUNTY,7174,7013,3421
ONEIDA COUNTY,9415,9213,4729
OUTAGAMIE COUNTY,44684,44285,20919
OZAUKEE COUNTY,25399,25291,12697
PEPIN COUNTY,1154,1088,413
PIERCE COUNTY,7424,7365,3391
POLK COUNTY,6805,6505,2882
PORTAGE COUNTY,15270,15194,8342
PRICE COUNTY,2540,2369,1082
RACINE COUNTY,39263,39010,16658
RICHLAND COUNTY,2797,2526,1126
ROCK COUNTY,33422,33142,17369
RUSK COUNTY,1897,1824,762
ST. CROIX COUNTY,20413,20311,9720
SAUK COUNTY,13508,13248,7198
SAWYER COUNTY,3655,3546,1832
SHAWANO COUNTY,6091,5987,3162
SHEBOYGAN COUNTY,22072,21917,11398
TAYLOR COUNTY,2563,2430,1187
TREMPEALEAU COUNTY,3322,3046,1414
VERNON COUNTY,4730,4036,1394
VILAS COUNTY,5929,5791,3157
WALWORTH COUNTY,19210,19100,8973
WASHBURN COUNTY,3182,3045,1527
WASHINGTON COUNTY,30494,30158,13901
WAUKESHA COUNTY,111192,110265,51808
WAUPACA COUNTY,8424,8369,4121
WAUSHARA COUNTY,3717,3670,1809
WINNEBAGO COUNTY,38797,38614,19498
WOOD COUNTY,13194,13039,7231
TOTAL,1315431,1300866,646987
