"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2024 General Election","01002","TOWN OF ADAMS - ADAMS COUNTY","106","105","67","0"
"2024 General Election","01004","TOWN OF BIG FLATS - ADAMS COUNTY","60","60","16","0"
"2024 General Election","01006","TOWN OF COLBURN - ADAMS COUNTY","24","21","7","0"
"2024 General Election","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","133","132","70","0"
"2024 General Election","01010","TOWN OF EASTON - ADAMS COUNTY","88","86","46","0"
"2024 General Election","01012","TOWN OF JACKSON - ADAMS COUNTY","124","124","63","0"
"2024 General Election","01014","TOWN OF LEOLA - ADAMS COUNTY","21","20","8","0"
"2024 General Election","01016","TOWN OF LINCOLN - ADAMS COUNTY","29","29","16","0"
"2024 General Election","01018","TOWN OF MONROE - ADAMS COUNTY","36","36","29","0"
"2024 General Election","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","84","84","56","0"
"2024 General Election","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","47","47","27","0"
"2024 General Election","01024","TOWN OF PRESTON - ADAMS COUNTY","128","127","76","0"
"2024 General Election","01026","TOWN OF QUINCY - ADAMS COUNTY","118","118","59","0"
"2024 General Election","01028","TOWN OF RICHFIELD - ADAMS COUNTY","7","7","2","0"
"2024 General Election","01030","TOWN OF ROME - ADAMS COUNTY","395","394","242","0"
"2024 General Election","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","116","112","68","0"
"2024 General Election","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","90","89","55","0"
"2024 General Election","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","52","51","33","0"
"2024 General Election","01201","CITY OF ADAMS - ADAMS COUNTY","88","88","57","0"
"2024 General Election","02002","TOWN OF AGENDA - ASHLAND COUNTY","27","25","17","0"
"2024 General Election","02004","TOWN OF ASHLAND - ASHLAND COUNTY","42","0","0",""
"2024 General Election","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","34","32","16","0"
"2024 General Election","02008","TOWN OF GINGLES - ASHLAND COUNTY","76","75","0","0"
"2024 General Election","02010","TOWN OF GORDON - ASHLAND COUNTY","35","35","15","0"
"2024 General Election","02012","TOWN OF JACOBS - ASHLAND COUNTY","27","25","10","0"
"2024 General Election","02014","TOWN OF LA POINTE - ASHLAND COUNTY","47","46","31","0"
"2024 General Election","02016","TOWN OF MARENGO - ASHLAND COUNTY","26","26","10","0"
"2024 General Election","02018","TOWN OF MORSE - ASHLAND COUNTY","51","51","26","0"
"2024 General Election","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","6","6","3","0"
"2024 General Election","02022","TOWN OF SANBORN - ASHLAND COUNTY","26","26","9","0"
"2024 General Election","02024","TOWN OF SHANAGOLDEN - ASHLAND COUNTY","12","11","2","0"
"2024 General Election","02026","TOWN OF WHITE RIVER - ASHLAND COUNTY","61","60","25","0"
"2024 General Election","02106","VILLAGE OF BUTTERNUT - ASHLAND COUNTY","15","14","4","0"
"2024 General Election","02201","CITY OF ASHLAND - MULTIPLE COUNTIES","682","676","373","0"
"2024 General Election","02251","CITY OF MELLEN - ASHLAND COUNTY","36","36","22","0"
"2024 General Election","03002","TOWN OF ALMENA - BARRON COUNTY","79","76","34","0"
"2024 General Election","03004","TOWN OF ARLAND - BARRON COUNTY","35","33","20","0"
"2024 General Election","03006","TOWN OF BARRON - BARRON COUNTY","33","30","11","0"
"2024 General Election","03008","TOWN OF BEAR LAKE - BARRON COUNTY","62","62","24","0"
"2024 General Election","03010","TOWN OF CEDAR LAKE - BARRON COUNTY","162","162","104","0"
"2024 General Election","03012","TOWN OF CHETEK - BARRON COUNTY","210","205","135","0"
"2024 General Election","03014","TOWN OF CLINTON - BARRON COUNTY","50","49","17","0"
"2024 General Election","03016","TOWN OF CRYSTAL LAKE - BARRON COUNTY","44","44","24","0"
"2024 General Election","03018","TOWN OF CUMBERLAND - BARRON COUNTY","39","39","28","0"
"2024 General Election","03020","TOWN OF DALLAS - BARRON COUNTY","29","25","12","0"
"2024 General Election","03022","TOWN OF DOVRE - BARRON COUNTY","52","52","14","0"
"2024 General Election","03024","TOWN OF DOYLE - BARRON COUNTY","37","37","14","0"
"2024 General Election","03026","TOWN OF LAKELAND - BARRON COUNTY","78","78","36","0"
"2024 General Election","03028","TOWN OF MAPLE GROVE - BARRON COUNTY","56","56","30","0"
"2024 General Election","03030","TOWN OF MAPLE PLAIN - BARRON COUNTY","82","82","37","0"
"2024 General Election","03032","TOWN OF OAK GROVE - BARRON COUNTY","56","56","36","0"
"2024 General Election","03034","TOWN OF PRAIRIE FARM - BARRON COUNTY","17","17","5","0"
"2024 General Election","03036","TOWN OF PRAIRIE LAKE - BARRON COUNTY","155","154","74","0"
"2024 General Election","03038","TOWN OF RICE LAKE - BARRON COUNTY","224","223","132","0"
"2024 General Election","03040","TOWN OF SIOUX CREEK - BARRON COUNTY","35","34","17","0"
"2024 General Election","03042","TOWN OF STANFOLD - BARRON COUNTY","30","30","16","0"
"2024 General Election","03044","TOWN OF STANLEY - BARRON COUNTY","228","227","130","0"
"2024 General Election","03046","TOWN OF SUMNER - BARRON COUNTY","31","31","11","0"
"2024 General Election","03048","TOWN OF TURTLE LAKE - BARRON COUNTY","29","29","14","0"
"2024 General Election","03050","TOWN OF VANCE CREEK - BARRON COUNTY","8","8","0","0"
"2024 General Election","03101","VILLAGE OF ALMENA - BARRON COUNTY","16","16","12","0"
"2024 General Election","03111","VILLAGE OF CAMERON - BARRON COUNTY","87","87","48","0"
"2024 General Election","03116","VILLAGE OF DALLAS - BARRON COUNTY","8","8","1","0"
"2024 General Election","03136","VILLAGE OF HAUGEN - BARRON COUNTY","10","10","7","0"
"2024 General Election","03171","VILLAGE OF PRAIRIE FARM - BARRON COUNTY","11","11","9","0"
"2024 General Election","03186","VILLAGE OF TURTLE LAKE - MULTIPLE COUNTIES","36","36","26","0"
"2024 General Election","03206","CITY OF BARRON - BARRON COUNTY","228","225","126","0"
"2024 General Election","03211","CITY OF CHETEK - BARRON COUNTY","153","151","93","0"
"2024 General Election","03212","CITY OF CUMBERLAND - BARRON COUNTY","183","182","125","0"
"2024 General Election","03276","CITY OF RICE LAKE - BARRON COUNTY","784","775","428","0"
"2024 General Election","04002","TOWN OF BARKSDALE - BAYFIELD COUNTY","78","72","29","0"
"2024 General Election","04004","TOWN OF BARNES - BAYFIELD COUNTY","126","125","75","0"
"2024 General Election","04006","TOWN OF BAYFIELD - BAYFIELD COUNTY","124","123","81","0"
"2024 General Election","04008","TOWN OF BAYVIEW - BAYFIELD COUNTY","63","63","46","0"
"2024 General Election","04010","TOWN OF BELL - BAYFIELD COUNTY","57","57","45","0"
"2024 General Election","04012","TOWN OF CABLE - BAYFIELD COUNTY","96","95","59","0"
"2024 General Election","04014","TOWN OF CLOVER - BAYFIELD COUNTY","33","33","21","0"
"2024 General Election","04016","TOWN OF DELTA - BAYFIELD COUNTY","51","47","33","0"
"2024 General Election","04018","TOWN OF DRUMMOND - BAYFIELD COUNTY","63","62","33","0"
"2024 General Election","04020","TOWN OF EILEEN - BAYFIELD COUNTY","53","53","26","0"
"2024 General Election","04021","TOWN OF GRAND VIEW - BAYFIELD COUNTY","63","63","39","0"
"2024 General Election","04022","TOWN OF HUGHES - BAYFIELD COUNTY","58","42","0","0"
"2024 General Election","04024","TOWN OF IRON RIVER - BAYFIELD COUNTY","141","136","75","0"
"2024 General Election","04026","TOWN OF KELLY - BAYFIELD COUNTY","31","31","20","0"
"2024 General Election","04028","TOWN OF KEYSTONE - BAYFIELD COUNTY","23","23","0","0"
"2024 General Election","04030","TOWN OF LINCOLN - BAYFIELD COUNTY","38","38","22","0"
"2024 General Election","04032","TOWN OF MASON - BAYFIELD COUNTY","18","18","13","0"
"2024 General Election","04034","TOWN OF NAMAKAGON - BAYFIELD COUNTY","53","53","25","0"
"2024 General Election","04036","TOWN OF ORIENTA - BAYFIELD COUNTY","12","12","9","0"
"2024 General Election","04038","TOWN OF OULU - BAYFIELD COUNTY","53","51","33","0"
"2024 General Election","04040","TOWN OF PILSEN - BAYFIELD COUNTY","12","12","7","0"
