
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,2530,2022,2
ASHLAND COUNTY,2574,2337,10
BARRON COUNTY,5948,5080,1
BAYFIELD COUNTY,3433,2652,0
BROWN COUNTY,53400,51946,55
BUFFALO COUNTY,1072,920,3
BURNETT COUNTY,2222,1558,0
CALUMET COUNTY,9340,8283,2
CHIPPEWA COUNTY,9375,8672,13
CLARK COUNTY,2013,1565,5
COLUMBIA COUNTY,9221,8825,8
CRAWFORD COUNTY,1953,1819,2
DANE COUNTY,164163,162365,535
DODGE COUNTY,10574,10418,8
DOOR COUNTY,6795,6043,0
DOUGLAS COUNTY,7534,7454,448
DUNN COUNTY,5570,5263,4
EAU CLAIRE COUNTY,16386,16162,62
FLORENCE COUNTY,857,726,4
FOND DU LAC COUNTY,13888,10940,3
FOREST COUNTY,1260,1033,0
GRANT COUNTY,5245,4444,22
GREEN COUNTY,5531,5423,94
GREEN LAKE COUNTY,2259,2010,6
IOWA COUNTY,4236,4063,9
IRON COUNTY,1052,944,0
JACKSON COUNTY,1730,1138,10
JEFFERSON COUNTY,13340,7997,1
JUNEAU COUNTY,2202,1715,12
KENOSHA COUNTY,27388,27247,46
KEWAUNEE COUNTY,2997,2830,21
LA CROSSE COUNTY,22466,22334,9
LAFAYETTE COUNTY,1869,1589,2
LANGLADE COUNTY,1414,838,0
LINCOLN COUNTY,4118,3022,0
MANITOWOC COUNTY,11283,11152,117
MARATHON COUNTY,22709,20961,15
MARINETTE COUNTY,5769,5515,53
MARQUETTE COUNTY,1969,1112,0
MENOMINEE COUNTY,356,0,0
MILWAUKEE COUNTY,189555,168583,11
MONROE COUNTY,4757,4659,6
OCONTO COUNTY,5720,4709,34
ONEIDA COUNTY,6778,5593,0
OUTAGAMIE COUNTY,35710,35114,146
OZAUKEE COUNTY,20945,20823,63
PEPIN COUNTY,851,480,0
PIERCE COUNTY,5927,5867,9
POLK COUNTY,5194,3931,7
PORTAGE COUNTY,12598,12510,34
PRICE COUNTY,1933,812,2
RACINE COUNTY,31877,30831,2
RICHLAND COUNTY,2179,682,0
ROCK COUNTY,26620,26146,32
RUSK COUNTY,1608,959,0
ST. CROIX COUNTY,16344,15470,19
SAUK COUNTY,11182,9998,109
SAWYER COUNTY,3085,2617,25
SHAWANO COUNTY,4838,4156,4
SHEBOYGAN COUNTY,17921,17424,1
TAYLOR COUNTY,1997,1411,4
TREMPEALEAU COUNTY,2266,1596,8
VERNON COUNTY,3538,1610,0
VILAS COUNTY,5042,4389,14
WALWORTH COUNTY,15536,14999,20
WASHBURN COUNTY,2622,1968,16
WASHINGTON COUNTY,24842,24259,0
WAUKESHA COUNTY,90576,89328,260
WAUPACA COUNTY,6949,6445,2
WAUSHARA COUNTY,3045,2347,1
WINNEBAGO COUNTY,30943,30433,326
WOOD COUNTY,10941,10518,6
TOTAL,1071960,1001084,2743
