
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,2734,2270,345
ASHLAND COUNTY,2711,2655,595
BARRON COUNTY,6340,6073,732
BAYFIELD COUNTY,3745,3511,453
BROWN COUNTY,57480,56304,10480
BUFFALO COUNTY,1272,1155,135
BURNETT COUNTY,2400,2078,186
CALUMET COUNTY,10100,9710,953
CHIPPEWA COUNTY,9929,9687,1381
CLARK COUNTY,2376,1997,361
COLUMBIA COUNTY,9933,9677,1696
CRAWFORD COUNTY,2197,2118,249
DANE COUNTY,175365,173814,32404
DODGE COUNTY,11302,11190,1512
DOOR COUNTY,7233,7082,1333
DOUGLAS COUNTY,7942,7845,2336
DUNN COUNTY,5959,5891,848
EAU CLAIRE COUNTY,17650,17367,3245
FLORENCE COUNTY,879,746,171
FOND DU LAC COUNTY,15686,13825,2034
FOREST COUNTY,1352,1241,43
GRANT COUNTY,6339,5811,933
GREEN COUNTY,5987,5881,1205
GREEN LAKE COUNTY,2477,2331,494
IOWA COUNTY,4525,4469,658
IRON COUNTY,1361,1303,119
JACKSON COUNTY,1904,1848,135
JEFFERSON COUNTY,14017,12464,506
JUNEAU COUNTY,2624,2357,153
KENOSHA COUNTY,29140,28908,3729
KEWAUNEE COUNTY,3167,3143,584
LA CROSSE COUNTY,24153,23996,5403
LAFAYETTE COUNTY,1984,1869,300
LANGLADE COUNTY,1672,1283,269
LINCOLN COUNTY,4300,3254,213
MANITOWOC COUNTY,12088,11964,2805
MARATHON COUNTY,23946,23127,3685
MARINETTE COUNTY,6109,6010,1121
MARQUETTE COUNTY,2150,1730,283
MENOMINEE COUNTY,370,355,83
MILWAUKEE COUNTY,199796,196406,15034
MONROE COUNTY,5051,4946,736
OCONTO COUNTY,6194,5506,1033
ONEIDA COUNTY,7797,7292,876
OUTAGAMIE COUNTY,38546,38069,5176
OZAUKEE COUNTY,22399,22271,4339
PEPIN COUNTY,973,822,52
PIERCE COUNTY,6429,6372,761
POLK COUNTY,5709,5324,595
PORTAGE COUNTY,13500,13404,2923
PRICE COUNTY,2081,1375,56
RACINE COUNTY,33940,33677,2815
RICHLAND COUNTY,2381,1720,238
ROCK COUNTY,28690,28439,5281
RUSK COUNTY,1733,1565,130
ST. CROIX COUNTY,17628,17413,2906
SAUK COUNTY,11936,11583,2535
SAWYER COUNTY,3258,2876,527
SHAWANO COUNTY,5153,4857,826
SHEBOYGAN COUNTY,19175,18979,3716
TAYLOR COUNTY,2205,1859,333
TREMPEALEAU COUNTY,2626,2199,318
VERNON COUNTY,3954,2397,220
VILAS COUNTY,5330,5176,992
WALWORTH COUNTY,16661,16197,2285
WASHBURN COUNTY,2787,2609,414
WASHINGTON COUNTY,26512,26053,4045
WAUKESHA COUNTY,97070,96056,16073
WAUPACA COUNTY,7357,7268,1259
WAUSHARA COUNTY,3266,3189,345
WINNEBAGO COUNTY,33346,32933,6677
WOOD COUNTY,11547,11224,2056
TOTAL,1147928,1118395,169742
