
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,3258,3069,1443
ASHLAND COUNTY,3046,3014,1683
BARRON COUNTY,7163,7057,3306
BAYFIELD COUNTY,4173,4016,2126
BROWN COUNTY,65690,64893,31751
BUFFALO COUNTY,1617,1560,577
BURNETT COUNTY,2697,2457,1147
CALUMET COUNTY,11556,11389,4865
CHIPPEWA COUNTY,11186,11004,5244
CLARK COUNTY,3031,2805,1183
COLUMBIA COUNTY,11346,11195,5694
CRAWFORD COUNTY,2510,2441,1047
DANE COUNTY,194492,193150,108328
DODGE COUNTY,13131,13017,5908
DOOR COUNTY,8144,8036,4100
DOUGLAS COUNTY,8818,8742,4943
DUNN COUNTY,6803,6703,3068
EAU CLAIRE COUNTY,20244,20045,10095
FLORENCE COUNTY,952,876,449
FOND DU LAC COUNTY,18428,17622,8523
FOREST COUNTY,1503,1452,666
GRANT COUNTY,7583,7274,3245
GREEN COUNTY,6875,6784,3539
GREEN LAKE COUNTY,2822,2732,1275
IOWA COUNTY,5121,5086,2614
IRON COUNTY,1576,1538,756
JACKSON COUNTY,2202,2185,923
JEFFERSON COUNTY,15892,15539,6466
JUNEAU COUNTY,3343,3226,1337
KENOSHA COUNTY,33468,33141,14613
KEWAUNEE COUNTY,3590,3567,1708
LA CROSSE COUNTY,27414,27291,14208
LAFAYETTE COUNTY,2237,2131,1042
LANGLADE COUNTY,2839,2748,1283
LINCOLN COUNTY,4904,4516,1935
MANITOWOC COUNTY,13911,13809,7262
MARATHON COUNTY,26795,26507,12832
MARINETTE COUNTY,6953,6877,3354
MARQUETTE COUNTY,2442,2299,1137
MENOMINEE COUNTY,411,390,216
MILWAUKEE COUNTY,223826,222862,96823
MONROE COUNTY,5715,5616,2519
OCONTO COUNTY,7060,6880,3216
ONEIDA COUNTY,9232,9033,4356
OUTAGAMIE COUNTY,44099,43621,19324
OZAUKEE COUNTY,25165,25041,12187
PEPIN COUNTY,1146,1084,392
PIERCE COUNTY,7330,7270,3178
POLK COUNTY,6717,6418,2686
PORTAGE COUNTY,15120,15048,7894
PRICE COUNTY,2485,2313,989
RACINE COUNTY,38857,38627,15561
RICHLAND COUNTY,2762,2489,1049
ROCK COUNTY,32950,32693,16362
RUSK COUNTY,1894,1822,725
ST. CROIX COUNTY,20160,20011,8661
SAUK COUNTY,13356,13073,6815
SAWYER COUNTY,3622,3507,1768
SHAWANO COUNTY,6002,5894,2990
SHEBOYGAN COUNTY,21787,21625,10929
TAYLOR COUNTY,2519,2386,1121
TREMPEALEAU COUNTY,3219,2953,1283
VERNON COUNTY,4715,4015,1356
VILAS COUNTY,5862,5717,3008
WALWORTH COUNTY,18980,18817,8421
WASHBURN COUNTY,3126,2983,1402
WASHINGTON COUNTY,30078,29752,13143
WAUKESHA COUNTY,109970,108987,49230
WAUPACA COUNTY,8334,8277,3940
WAUSHARA COUNTY,3676,3627,1721
WINNEBAGO COUNTY,38395,38019,18513
WOOD COUNTY,13077,12899,6790
TOTAL,1301402,1285542,614243
