
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,3076,2744,1076
ASHLAND COUNTY,2929,2896,1380
BARRON COUNTY,6849,6679,2540
BAYFIELD COUNTY,4033,3803,1617
BROWN COUNTY,62388,61810,24911
BUFFALO COUNTY,1549,1489,431
BURNETT COUNTY,2603,2356,888
CALUMET COUNTY,10963,10793,3442
CHIPPEWA COUNTY,10677,10511,3949
CLARK COUNTY,2806,2541,854
COLUMBIA COUNTY,10768,10635,4532
CRAWFORD COUNTY,2407,2344,845
DANE COUNTY,187271,186394,85377
DODGE COUNTY,12424,12295,4528
DOOR COUNTY,7789,7646,3213
DOUGLAS COUNTY,8483,8408,4171
DUNN COUNTY,6490,6431,2446
EAU CLAIRE COUNTY,19277,19136,7945
FLORENCE COUNTY,911,859,331
FOND DU LAC COUNTY,17554,16757,6749
FOREST COUNTY,1467,1412,402
GRANT COUNTY,7301,6988,2408
GREEN COUNTY,6547,6453,2853
GREEN LAKE COUNTY,2684,2597,995
IOWA COUNTY,4861,4822,1987
IRON COUNTY,1532,1493,572
JACKSON COUNTY,2082,2062,584
JEFFERSON COUNTY,15214,14862,4707
JUNEAU COUNTY,3130,2979,862
KENOSHA COUNTY,31623,31445,10496
KEWAUNEE COUNTY,3427,3407,1405
LA CROSSE COUNTY,26187,26079,11350
LAFAYETTE COUNTY,2141,2045,866
LANGLADE COUNTY,2636,2503,859
LINCOLN COUNTY,4618,3523,1288
MANITOWOC COUNTY,13153,13073,6034
MARATHON COUNTY,25697,25276,9830
MARINETTE COUNTY,6620,6548,2751
MARQUETTE COUNTY,2342,2192,916
MENOMINEE COUNTY,392,376,171
MILWAUKEE COUNTY,214310,211121,70734
MONROE COUNTY,5478,5378,1966
OCONTO COUNTY,6770,6590,2546
ONEIDA COUNTY,8886,8670,3318
OUTAGAMIE COUNTY,41970,41639,13170
OZAUKEE COUNTY,24084,23985,9642
PEPIN COUNTY,1095,1027,217
PIERCE COUNTY,6991,6927,2343
POLK COUNTY,6261,6017,2027
PORTAGE COUNTY,14521,14457,6449
PRICE COUNTY,2396,2232,752
RACINE COUNTY,37142,36873,11129
RICHLAND COUNTY,2612,2269,801
ROCK COUNTY,31315,31118,13120
RUSK COUNTY,1807,1731,492
ST. CROIX COUNTY,19172,19079,7061
SAUK COUNTY,12786,12494,5571
SAWYER COUNTY,3518,3394,1447
SHAWANO COUNTY,5669,5438,2277
SHEBOYGAN COUNTY,20664,20486,8625
TAYLOR COUNTY,2410,2271,862
TREMPEALEAU COUNTY,2960,2654,936
VERNON COUNTY,4365,3293,626
VILAS COUNTY,5654,5510,2303
WALWORTH COUNTY,18079,17973,6545
WASHBURN COUNTY,3029,2872,1178
WASHINGTON COUNTY,28717,28257,10298
WAUKESHA COUNTY,105108,104372,38912
WAUPACA COUNTY,7955,7902,3132
WAUSHARA COUNTY,3510,3467,1338
WINNEBAGO COUNTY,36385,36160,14860
WOOD COUNTY,12513,12341,5351
TOTAL,1243033,1224659,472589
