
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,2773,2356,537
ASHLAND COUNTY,2753,2696,779
BARRON COUNTY,6423,6193,1100
BAYFIELD COUNTY,3808,3622,691
BROWN COUNTY,58442,57099,13539
BUFFALO COUNTY,1309,1191,225
BURNETT COUNTY,2441,2114,390
CALUMET COUNTY,10208,10005,1334
CHIPPEWA COUNTY,10125,9827,1835
CLARK COUNTY,2478,2157,437
COLUMBIA COUNTY,10083,9842,2320
CRAWFORD COUNTY,2252,2173,386
DANE COUNTY,178416,176848,52886
DODGE COUNTY,11565,11417,2028
DOOR COUNTY,7326,7164,1721
DOUGLAS COUNTY,8024,7915,2598
DUNN COUNTY,6078,5989,1265
EAU CLAIRE COUNTY,17980,17618,4230
FLORENCE COUNTY,885,831,211
FOND DU LAC COUNTY,15945,14501,2392
FOREST COUNTY,1383,1329,135
GRANT COUNTY,6587,6068,1302
GREEN COUNTY,6083,5963,1614
GREEN LAKE COUNTY,2545,2421,587
IOWA COUNTY,4607,4570,1012
IRON COUNTY,1369,1323,165
JACKSON COUNTY,1927,1903,215
JEFFERSON COUNTY,14198,12679,1056
JUNEAU COUNTY,2639,2374,341
KENOSHA COUNTY,29556,29428,5092
KEWAUNEE COUNTY,3195,3164,685
LA CROSSE COUNTY,24475,24328,6456
LAFAYETTE COUNTY,1993,1878,346
LANGLADE COUNTY,1921,1587,342
LINCOLN COUNTY,4350,3289,383
MANITOWOC COUNTY,12310,12179,3584
MARATHON COUNTY,24251,23563,4654
MARINETTE COUNTY,6179,6075,1393
MARQUETTE COUNTY,2176,1764,396
MENOMINEE COUNTY,373,358,102
MILWAUKEE COUNTY,202574,200009,27037
MONROE COUNTY,5132,5015,979
OCONTO COUNTY,6359,5848,1340
ONEIDA COUNTY,8026,7665,1189
OUTAGAMIE COUNTY,39046,38609,6238
OZAUKEE COUNTY,22686,22485,5311
PEPIN COUNTY,1018,928,65
PIERCE COUNTY,6488,6415,952
POLK COUNTY,5859,5503,944
PORTAGE COUNTY,13693,13589,3707
PRICE COUNTY,2255,1969,166
RACINE COUNTY,34500,34249,3729
RICHLAND COUNTY,2425,1887,332
ROCK COUNTY,29313,28849,7703
RUSK COUNTY,1737,1570,138
ST. CROIX COUNTY,17892,17757,3764
SAUK COUNTY,12120,11729,3183
SAWYER COUNTY,3293,2908,677
SHAWANO COUNTY,5200,4889,991
SHEBOYGAN COUNTY,19383,19133,4525
TAYLOR COUNTY,2237,1891,435
TREMPEALEAU COUNTY,2717,2277,431
VERNON COUNTY,4113,2850,282
VILAS COUNTY,5354,5192,1134
WALWORTH COUNTY,16875,16351,3352
WASHBURN COUNTY,2827,2642,605
WASHINGTON COUNTY,26864,26327,5238
WAUKESHA COUNTY,98585,97181,20120
WAUPACA COUNTY,7445,7333,1598
WAUSHARA COUNTY,3336,3279,733
WINNEBAGO COUNTY,33884,33436,8063
WOOD COUNTY,11740,11478,2631
TOTAL,1166407,1139044,238356
