
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,3537,3402,1957
ASHLAND COUNTY,3220,3194,2109
BARRON COUNTY,7754,7656,4641
BAYFIELD COUNTY,4394,4291,2966
BROWN COUNTY,71760,71069,44528
BUFFALO COUNTY,1838,1792,961
BURNETT COUNTY,3026,2963,1717
CALUMET COUNTY,12892,12826,7508
CHIPPEWA COUNTY,12046,11915,7303
CLARK COUNTY,3463,3350,1809
COLUMBIA COUNTY,12298,12204,7876
CRAWFORD COUNTY,2758,2687,1557
DANE COUNTY,205529,204489,140373
DODGE COUNTY,14307,14219,8571
DOOR COUNTY,8719,8624,5902
DOUGLAS COUNTY,9399,9324,6249
DUNN COUNTY,7350,7278,4332
EAU CLAIRE COUNTY,21929,21742,13736
FLORENCE COUNTY,1022,970,629
FOND DU LAC COUNTY,20238,19895,12237
FOREST COUNTY,1598,1565,896
GRANT COUNTY,8518,8410,5125
GREEN COUNTY,7387,7346,4802
GREEN LAKE COUNTY,3031,2952,1830
IOWA COUNTY,5474,5448,3526
IRON COUNTY,1694,1675,1028
JACKSON COUNTY,2374,2367,1371
JEFFERSON COUNTY,17248,17038,9998
JUNEAU COUNTY,3618,3491,1894
KENOSHA COUNTY,36160,35979,21280
KEWAUNEE COUNTY,3903,3877,2358
LA CROSSE COUNTY,29558,29447,18988
LAFAYETTE COUNTY,2435,2365,1368
LANGLADE COUNTY,3174,3113,1835
LINCOLN COUNTY,5336,5286,3171
MANITOWOC COUNTY,15249,15202,9910
MARATHON COUNTY,28638,28458,18007
MARINETTE COUNTY,7581,7525,4717
MARQUETTE COUNTY,2653,2540,1638
MENOMINEE COUNTY,452,432,280
MILWAUKEE COUNTY,241472,240645,141069
MONROE COUNTY,6243,6176,3551
OCONTO COUNTY,7753,7606,4601
ONEIDA COUNTY,10225,10105,6455
OUTAGAMIE COUNTY,48177,47958,28844
OZAUKEE COUNTY,26879,26789,16792
PEPIN COUNTY,1203,1141,548
PIERCE COUNTY,7899,7828,4587
POLK COUNTY,7580,7463,4237
PORTAGE COUNTY,16261,16182,10613
PRICE COUNTY,2673,2524,1531
RACINE COUNTY,42451,42263,23467
RICHLAND COUNTY,2983,2729,1595
ROCK COUNTY,35964,35739,22788
RUSK COUNTY,2012,1960,1112
ST. CROIX COUNTY,21881,21755,13064
SAUK COUNTY,14397,14165,8949
SAWYER COUNTY,3853,3745,2398
SHAWANO COUNTY,6547,6502,4174
SHEBOYGAN COUNTY,23790,23639,14743
TAYLOR COUNTY,2750,2634,1594
TREMPEALEAU COUNTY,3739,3526,2125
VERNON COUNTY,5166,4917,2578
VILAS COUNTY,6216,6089,4055
WALWORTH COUNTY,20594,20471,12072
WASHBURN COUNTY,3301,3190,1910
WASHINGTON COUNTY,32566,32223,19093
WAUKESHA COUNTY,119305,118480,70651
WAUPACA COUNTY,8968,8933,5448
WAUSHARA COUNTY,3961,3928,2371
WINNEBAGO COUNTY,41705,41454,25900
WOOD COUNTY,14005,13889,9108
TOTAL,1406079,1395054,863006
