
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,3078,2744,1082
ASHLAND COUNTY,2937,2905,1411
BARRON COUNTY,6876,6688,2570
BAYFIELD COUNTY,4040,3810,1660
BROWN COUNTY,62514,61846,25193
BUFFALO COUNTY,1549,1489,431
BURNETT COUNTY,2604,2360,903
CALUMET COUNTY,11050,10894,3502
CHIPPEWA COUNTY,10710,10515,3949
CLARK COUNTY,2808,2542,859
COLUMBIA COUNTY,10796,10653,4594
CRAWFORD COUNTY,2410,2344,845
DANE COUNTY,188070,186430,85651
DODGE COUNTY,12466,12325,4590
DOOR COUNTY,7810,7659,3221
DOUGLAS COUNTY,8489,8408,4171
DUNN COUNTY,6497,6435,2446
EAU CLAIRE COUNTY,19332,19143,7946
FLORENCE COUNTY,911,859,335
FOND DU LAC COUNTY,17579,16757,6749
FOREST COUNTY,1468,1412,402
GRANT COUNTY,7312,6987,2409
GREEN COUNTY,6564,6454,2855
GREEN LAKE COUNTY,2692,2603,1007
IOWA COUNTY,4883,4846,2038
IRON COUNTY,1532,1493,572
JACKSON COUNTY,2083,2062,584
JEFFERSON COUNTY,15240,14862,4712
JUNEAU COUNTY,3133,2979,862
KENOSHA COUNTY,31669,31446,10509
KEWAUNEE COUNTY,3430,3407,1405
LA CROSSE COUNTY,26212,26079,11352
LAFAYETTE COUNTY,2146,2045,866
LANGLADE COUNTY,2641,2503,859
LINCOLN COUNTY,4623,3527,1294
MANITOWOC COUNTY,13194,13099,6078
MARATHON COUNTY,25734,25291,9885
MARINETTE COUNTY,6634,6562,2799
MARQUETTE COUNTY,2345,2192,916
MENOMINEE COUNTY,392,376,171
MILWAUKEE COUNTY,214973,211180,72880
MONROE COUNTY,5483,5378,1965
OCONTO COUNTY,6791,6613,2570
ONEIDA COUNTY,8893,8675,3329
OUTAGAMIE COUNTY,42064,41682,13231
OZAUKEE COUNTY,24118,23996,9664
PEPIN COUNTY,1095,1027,217
PIERCE COUNTY,6999,6927,2343
POLK COUNTY,6296,6048,2108
PORTAGE COUNTY,14541,14463,6478
PRICE COUNTY,2402,2236,758
RACINE COUNTY,37197,36876,11140
RICHLAND COUNTY,2616,2270,812
ROCK COUNTY,31364,31145,13265
RUSK COUNTY,1808,1731,492
ST. CROIX COUNTY,19232,19110,7207
SAUK COUNTY,12796,12495,5595
SAWYER COUNTY,3519,3395,1470
SHAWANO COUNTY,5682,5448,2289
SHEBOYGAN COUNTY,20710,20496,8657
TAYLOR COUNTY,2415,2274,875
TREMPEALEAU COUNTY,2964,2657,962
VERNON COUNTY,4467,3539,799
VILAS COUNTY,5668,5523,2349
WALWORTH COUNTY,18132,17980,6604
WASHBURN COUNTY,3029,2872,1178
WASHINGTON COUNTY,28784,28312,10340
WAUKESHA COUNTY,105297,104374,38933
WAUPACA COUNTY,7969,7903,3143
WAUSHARA COUNTY,3520,3472,1348
WINNEBAGO COUNTY,36462,36179,14923
WOOD COUNTY,12570,12392,5384
TOTAL,1246309,1225699,476991
