
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,3565,3454,2158
ASHLAND COUNTY,3236,3213,2236
BARRON COUNTY,7805,7711,4933
BAYFIELD COUNTY,4415,4314,3087
BROWN COUNTY,72139,71701,47303
BUFFALO COUNTY,1858,1825,1025
BURNETT COUNTY,3034,2975,1797
CALUMET COUNTY,12994,12888,7896
CHIPPEWA COUNTY,12100,11959,7762
CLARK COUNTY,3502,3392,1948
COLUMBIA COUNTY,12381,12294,8294
CRAWFORD COUNTY,2789,2733,1651
DANE COUNTY,206428,205782,146530
DODGE COUNTY,14428,14361,9072
DOOR COUNTY,8773,8680,6186
DOUGLAS COUNTY,9460,9412,6588
DUNN COUNTY,7472,7424,4675
EAU CLAIRE COUNTY,22081,21918,14810
FLORENCE COUNTY,1026,974,665
FOND DU LAC COUNTY,20374,20035,12981
FOREST COUNTY,1613,1591,938
GRANT COUNTY,8600,8492,5455
GREEN COUNTY,7471,7439,5118
GREEN LAKE COUNTY,3063,2990,1947
IOWA COUNTY,5512,5484,3739
IRON COUNTY,1708,1692,1135
JACKSON COUNTY,2396,2392,1447
JEFFERSON COUNTY,17407,17210,10653
JUNEAU COUNTY,3656,3539,2014
KENOSHA COUNTY,36546,36363,22884
KEWAUNEE COUNTY,3925,3898,2480
LA CROSSE COUNTY,29766,29671,20474
LAFAYETTE COUNTY,2464,2401,1539
LANGLADE COUNTY,3241,3179,1948
LINCOLN COUNTY,5379,5334,3407
MANITOWOC COUNTY,15380,15331,10649
MARATHON COUNTY,28814,28662,19011
MARINETTE COUNTY,7647,7591,4981
MARQUETTE COUNTY,2671,2560,1689
MENOMINEE COUNTY,454,435,298
MILWAUKEE COUNTY,243153,242446,148998
MONROE COUNTY,6304,6243,3849
OCONTO COUNTY,7799,7656,4849
ONEIDA COUNTY,10292,10175,6886
OUTAGAMIE COUNTY,48649,48308,31061
OZAUKEE COUNTY,27050,26988,17877
PEPIN COUNTY,1206,1147,580
PIERCE COUNTY,7970,7927,4968
POLK COUNTY,7641,7531,4495
PORTAGE COUNTY,16364,16300,11160
PRICE COUNTY,2681,2532,1599
RACINE COUNTY,42875,42564,25161
RICHLAND COUNTY,3030,2789,1673
ROCK COUNTY,36198,36021,24065
RUSK COUNTY,2020,1977,1200
ST. CROIX COUNTY,22032,21953,13890
SAUK COUNTY,14551,14341,9783
SAWYER COUNTY,3881,3774,2525
SHAWANO COUNTY,6592,6547,4379
SHEBOYGAN COUNTY,24005,23866,15733
TAYLOR COUNTY,2785,2676,1689
TREMPEALEAU COUNTY,3825,3675,2280
VERNON COUNTY,5220,4958,2722
VILAS COUNTY,6245,6122,4232
WALWORTH COUNTY,20788,20697,12967
WASHBURN COUNTY,3323,3212,2020
WASHINGTON COUNTY,32796,32477,20258
WAUKESHA COUNTY,120058,119447,76136
WAUPACA COUNTY,9079,9049,5835
WAUSHARA COUNTY,3968,3937,2455
WINNEBAGO COUNTY,42071,41912,27659
WOOD COUNTY,14084,13972,9578
TOTAL,1416108,1406518,915965
