
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,3532,3400,1929
ASHLAND COUNTY,3219,3193,2101
BARRON COUNTY,7731,7638,4572
BAYFIELD COUNTY,4382,4281,2903
BROWN COUNTY,71435,71036,44150
BUFFALO COUNTY,1835,1791,960
BURNETT COUNTY,3012,2953,1660
CALUMET COUNTY,12858,12777,7336
CHIPPEWA COUNTY,12008,11882,7270
CLARK COUNTY,3460,3348,1801
COLUMBIA COUNTY,12270,12183,7774
CRAWFORD COUNTY,2752,2681,1557
DANE COUNTY,205113,204434,138693
DODGE COUNTY,14278,14213,8491
DOOR COUNTY,8710,8623,5843
DOUGLAS COUNTY,9391,9324,6249
DUNN COUNTY,7326,7254,4227
EAU CLAIRE COUNTY,21866,21704,13596
FLORENCE COUNTY,1020,969,619
FOND DU LAC COUNTY,20121,19790,12015
FOREST COUNTY,1591,1558,885
GRANT COUNTY,8507,8403,5006
GREEN COUNTY,7382,7344,4789
GREEN LAKE COUNTY,3015,2943,1795
IOWA COUNTY,5465,5444,3497
IRON COUNTY,1691,1675,1028
JACKSON COUNTY,2368,2364,1353
JEFFERSON COUNTY,17221,17029,9967
JUNEAU COUNTY,3613,3489,1892
KENOSHA COUNTY,36088,35973,21148
KEWAUNEE COUNTY,3900,3877,2358
LA CROSSE COUNTY,29520,29423,18953
LAFAYETTE COUNTY,2434,2365,1368
LANGLADE COUNTY,3171,3113,1835
LINCOLN COUNTY,5329,5280,3163
MANITOWOC COUNTY,15179,15135,9735
MARATHON COUNTY,28599,28440,17785
MARINETTE COUNTY,7560,7514,4632
MARQUETTE COUNTY,2652,2540,1638
MENOMINEE COUNTY,450,431,279
MILWAUKEE COUNTY,240920,239661,138382
MONROE COUNTY,6236,6175,3551
OCONTO COUNTY,7742,7597,4498
ONEIDA COUNTY,10216,10100,6434
OUTAGAMIE COUNTY,48042,47911,28594
OZAUKEE COUNTY,26847,26782,16668
PEPIN COUNTY,1202,1141,548
PIERCE COUNTY,7880,7828,4553
POLK COUNTY,7547,7438,4159
PORTAGE COUNTY,16224,16170,10496
PRICE COUNTY,2645,2500,1451
RACINE COUNTY,42393,42253,23445
RICHLAND COUNTY,2978,2729,1570
ROCK COUNTY,35780,35656,22373
RUSK COUNTY,2011,1960,1112
ST. CROIX COUNTY,21801,21719,12895
SAUK COUNTY,14385,14164,8912
SAWYER COUNTY,3845,3743,2377
SHAWANO COUNTY,6515,6470,4080
SHEBOYGAN COUNTY,23757,23625,14670
TAYLOR COUNTY,2739,2622,1550
TREMPEALEAU COUNTY,3730,3517,2099
VERNON COUNTY,4945,4585,2003
VILAS COUNTY,6201,6075,3955
WALWORTH COUNTY,20527,20432,11958
WASHBURN COUNTY,3296,3185,1903
WASHINGTON COUNTY,32489,32190,18948
WAUKESHA COUNTY,119013,118428,70520
WAUPACA COUNTY,8960,8930,5423
WAUSHARA COUNTY,3958,3928,2343
WINNEBAGO COUNTY,41629,41452,25806
WOOD COUNTY,13977,13866,9028
TOTAL,1402484,1392646,853156
