
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,3408,3228,1742
ASHLAND COUNTY,3174,3145,1947
BARRON COUNTY,7535,7436,4059
BAYFIELD COUNTY,4317,4228,2698
BROWN COUNTY,69710,68961,38723
BUFFALO COUNTY,1755,1689,790
BURNETT COUNTY,2850,2757,1437
CALUMET COUNTY,12360,12271,6171
CHIPPEWA COUNTY,11729,11556,6465
CLARK COUNTY,3177,3002,1472
COLUMBIA COUNTY,11976,11862,6983
CRAWFORD COUNTY,2669,2612,1414
DANE COUNTY,201804,200501,126829
DODGE COUNTY,13979,13873,7415
DOOR COUNTY,8517,8417,5220
DOUGLAS COUNTY,9186,9094,5745
DUNN COUNTY,7202,7142,3730
EAU CLAIRE COUNTY,21375,21226,12394
FLORENCE COUNTY,995,949,556
FOND DU LAC COUNTY,19473,18757,10465
FOREST COUNTY,1556,1505,801
GRANT COUNTY,8296,8169,4403
GREEN COUNTY,7216,7117,4262
GREEN LAKE COUNTY,2954,2875,1573
IOWA COUNTY,5350,5315,3146
IRON COUNTY,1663,1633,928
JACKSON COUNTY,2329,2324,1182
JEFFERSON COUNTY,16790,16532,8255
JUNEAU COUNTY,3496,3379,1679
KENOSHA COUNTY,35187,34922,18618
KEWAUNEE COUNTY,3763,3737,2017
LA CROSSE COUNTY,28879,28713,17115
LAFAYETTE COUNTY,2378,2291,1269
LANGLADE COUNTY,3102,3039,1672
LINCOLN COUNTY,5215,5177,2803
MANITOWOC COUNTY,14751,14697,8724
MARATHON COUNTY,27965,27735,15804
MARINETTE COUNTY,7396,7324,4134
MARQUETTE COUNTY,2560,2428,1446
MENOMINEE COUNTY,438,417,257
MILWAUKEE COUNTY,234745,233774,122053
MONROE COUNTY,6065,5987,3098
OCONTO COUNTY,7524,7367,4010
ONEIDA COUNTY,9932,9736,5580
OUTAGAMIE COUNTY,46820,46606,25273
OZAUKEE COUNTY,26304,26189,14784
PEPIN COUNTY,1179,1114,487
PIERCE COUNTY,7692,7632,4058
POLK COUNTY,7174,7025,3494
PORTAGE COUNTY,15886,15792,9406
PRICE COUNTY,2615,2466,1274
RACINE COUNTY,41010,40847,19730
RICHLAND COUNTY,2890,2626,1360
ROCK COUNTY,34927,34648,20123
RUSK COUNTY,1954,1903,930
ST. CROIX COUNTY,21266,21136,11398
SAUK COUNTY,14034,13777,8102
SAWYER COUNTY,3764,3653,2116
SHAWANO COUNTY,6340,6222,3624
SHEBOYGAN COUNTY,23092,22912,13123
TAYLOR COUNTY,2654,2525,1351
TREMPEALEAU COUNTY,3495,3257,1720
VERNON COUNTY,4835,4424,1602
VILAS COUNTY,6104,5965,3598
WALWORTH COUNTY,20061,19939,10377
WASHBURN COUNTY,3247,3110,1684
WASHINGTON COUNTY,31685,31316,16496
WAUKESHA COUNTY,116025,115227,61406
WAUPACA COUNTY,8757,8707,4840
WAUSHARA COUNTY,3831,3778,1988
WINNEBAGO COUNTY,40542,40358,22628
WOOD COUNTY,13694,13534,8151
TOTAL,1368618,1355587,756207
