
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,2845,2497,736
ASHLAND COUNTY,2783,2731,979
BARRON COUNTY,6530,6357,1518
BAYFIELD COUNTY,3861,3676,930
BROWN COUNTY,59407,58225,17335
BUFFALO COUNTY,1358,1249,286
BURNETT COUNTY,2489,2195,643
CALUMET COUNTY,10396,10171,1932
CHIPPEWA COUNTY,10257,9993,2529
CLARK COUNTY,2586,2272,589
COLUMBIA COUNTY,10259,10036,3146
CRAWFORD COUNTY,2278,2200,528
DANE COUNTY,180747,179002,64468
DODGE COUNTY,11776,11654,2645
DOOR COUNTY,7390,7239,2068
DOUGLAS COUNTY,8144,8043,3166
DUNN COUNTY,6163,6073,1562
EAU CLAIRE COUNTY,18261,18055,5573
FLORENCE COUNTY,893,840,246
FOND DU LAC COUNTY,16318,15071,3637
FOREST COUNTY,1396,1345,209
GRANT COUNTY,6788,6342,1645
GREEN COUNTY,6209,6095,1984
GREEN LAKE COUNTY,2579,2481,719
IOWA COUNTY,4664,4622,1423
IRON COUNTY,1474,1429,283
JACKSON COUNTY,1952,1929,317
JEFFERSON COUNTY,14466,13613,2272
JUNEAU COUNTY,2747,2514,428
KENOSHA COUNTY,30116,29984,6788
KEWAUNEE COUNTY,3243,3211,838
LA CROSSE COUNTY,24966,24817,8324
LAFAYETTE COUNTY,2056,1928,565
LANGLADE COUNTY,2130,1844,509
LINCOLN COUNTY,4422,3385,754
MANITOWOC COUNTY,12516,12395,4464
MARATHON COUNTY,24606,24129,6313
MARINETTE COUNTY,6264,6167,1687
MARQUETTE COUNTY,2217,1968,412
MENOMINEE COUNTY,378,363,136
MILWAUKEE COUNTY,204679,203301,35090
MONROE COUNTY,5209,5092,1238
OCONTO COUNTY,6413,6103,1527
ONEIDA COUNTY,8357,8082,1903
OUTAGAMIE COUNTY,39711,39250,9006
OZAUKEE COUNTY,23050,22928,6856
PEPIN COUNTY,1039,969,107
PIERCE COUNTY,6630,6560,1391
POLK COUNTY,5943,5616,1162
PORTAGE COUNTY,13943,13849,4552
PRICE COUNTY,2290,2107,288
RACINE COUNTY,34891,34540,5760
RICHLAND COUNTY,2458,1957,442
ROCK COUNTY,29839,29476,9267
RUSK COUNTY,1746,1665,228
ST. CROIX COUNTY,18208,18035,4859
SAUK COUNTY,12276,11913,4008
SAWYER COUNTY,3358,3235,974
SHAWANO COUNTY,5249,4938,1259
SHEBOYGAN COUNTY,19757,19531,5999
TAYLOR COUNTY,2248,1903,496
TREMPEALEAU COUNTY,2795,2397,548
VERNON COUNTY,4136,2873,387
VILAS COUNTY,5398,5224,1344
WALWORTH COUNTY,17206,17041,4314
WASHBURN COUNTY,2860,2680,751
WASHINGTON COUNTY,27388,26868,7039
WAUKESHA COUNTY,100182,99163,26103
WAUPACA COUNTY,7572,7467,2122
WAUSHARA COUNTY,3384,3335,967
WINNEBAGO COUNTY,34554,34081,10487
WOOD COUNTY,11937,11702,3495
TOTAL,1184636,1162021,308555
