
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,2640,2138,107
ASHLAND COUNTY,2660,2536,354
BARRON COUNTY,6217,5941,304
BAYFIELD COUNTY,3607,3207,147
BROWN COUNTY,55887,54414,4865
BUFFALO COUNTY,1182,1061,25
BURNETT COUNTY,2331,1892,42
CALUMET COUNTY,9779,8901,384
CHIPPEWA COUNTY,9664,9306,427
CLARK COUNTY,2174,1744,109
COLUMBIA COUNTY,9698,9355,608
CRAWFORD COUNTY,2146,2060,78
DANE COUNTY,171472,169177,16010
DODGE COUNTY,10986,10816,484
DOOR COUNTY,7044,6871,459
DOUGLAS COUNTY,7781,7683,1655
DUNN COUNTY,5829,5702,300
EAU CLAIRE COUNTY,17167,16873,1435
FLORENCE COUNTY,870,738,87
FOND DU LAC COUNTY,14768,12266,630
FOREST COUNTY,1315,1153,8
GRANT COUNTY,5649,4963,396
GREEN COUNTY,5812,5690,592
GREEN LAKE COUNTY,2382,2223,219
IOWA COUNTY,4421,4328,243
IRON COUNTY,1209,1150,45
JACKSON COUNTY,1820,1713,46
JEFFERSON COUNTY,13697,11619,78
JUNEAU COUNTY,2427,2109,69
KENOSHA COUNTY,28402,28284,1460
KEWAUNEE COUNTY,3111,3078,284
LA CROSSE COUNTY,23462,23311,2786
LAFAYETTE COUNTY,1955,1832,152
LANGLADE COUNTY,1466,884,59
LINCOLN COUNTY,4221,3181,31
MANITOWOC COUNTY,11768,11656,1238
MARATHON COUNTY,23488,22634,1397
MARINETTE COUNTY,5947,5809,388
MARQUETTE COUNTY,2097,1567,95
MENOMINEE COUNTY,362,346,15
MILWAUKEE COUNTY,195485,186023,5678
MONROE COUNTY,4940,4842,246
OCONTO COUNTY,5963,5167,376
ONEIDA COUNTY,7348,6726,178
OUTAGAMIE COUNTY,37128,36640,2051
OZAUKEE COUNTY,21829,21682,2059
PEPIN COUNTY,957,771,11
PIERCE COUNTY,6236,6172,410
POLK COUNTY,5574,4830,200
PORTAGE COUNTY,13082,12951,1065
PRICE COUNTY,2024,1148,11
RACINE COUNTY,32930,32175,910
RICHLAND COUNTY,2264,1280,63
ROCK COUNTY,28023,27409,2416
RUSK COUNTY,1669,1235,1
ST. CROIX COUNTY,17146,17019,962
SAUK COUNTY,11665,11223,1020
SAWYER COUNTY,3185,2790,188
SHAWANO COUNTY,4977,4288,285
SHEBOYGAN COUNTY,18702,18443,1458
TAYLOR COUNTY,2062,1575,119
TREMPEALEAU COUNTY,2477,2008,121
VERNON COUNTY,3721,1933,111
VILAS COUNTY,5227,5062,265
WALWORTH COUNTY,16169,15636,840
WASHBURN COUNTY,2763,2575,252
WASHINGTON COUNTY,25843,25290,1097
WAUKESHA COUNTY,94617,93473,6491
WAUPACA COUNTY,7190,7076,485
WAUSHARA COUNTY,3222,3144,111
WINNEBAGO COUNTY,32380,31981,3366
WOOD COUNTY,11316,10870,717
TOTAL,1117028,1073648,71674
